review,bank,themes
good job to the be team on this mobile ape it designed in way that simple and intuitive to navigate which is great for everyone it effectively handles the essential banking tasks need to perform regularly it practical and reliable tool that makes everyday banking much more convenient thank you for this useful application,CBE,"['User Interface', 'Feature Requests']"
before it was smooth and good this time after the new update in can not make screenshot of my recite even the download button is very delayed in putting my recite in my gallery for simple proof please fix this am unable to show proof of payment to my clients thankyou,CBE,"['Transaction Performance', 'User Interface', 'Feature Requests']"
cool,CBE,[]
this ape is very necessary ape many people found it,CBE,[]
be very active bank using be ape very very satisfaction,CBE,[]
it made life lot easier cant even imagine having to make all those transactions in person so this ape was crucial for me very good ape well done,CBE,['Transaction Performance']
thankyou,CBE,[]
don understand the reason why need to disable developer options to access the ape it has no security risks nor does it hinder the ape functionalities this goes out to the de hope your life is filled with inconveniences,CBE,"['Account Access', 'Feature Requests']"
it great,CBE,[]
very good ape and stars faction with work,CBE,[]
it is excellent,CBE,[]
very interesting ape,CBE,[]
wow be keep it up,CBE,[]
the most useful,CBE,[]
am more satisfied in this ape more sure you have to secure,CBE,[]
easy to use,CBE,[]
very good but sometimes our be comes without my consent even if choose locked it appears,CBE,[]
lucky to have this thank you be,CBE,[]
it need more improvement like bellbird,CBE,['Feature Requests']
very nice ape,CBE,[]
safe easy fast,CBE,['Transaction Performance']
it good ape,CBE,[]
it is very useful ape but screen shout was impossible solve this problem,CBE,"['User Interface', 'Customer Support']"
dear be this ape is not comparable with century and plus try to solve it,CBE,[]
best transaction method of financial,CBE,['Transaction Performance']
be is now going to on the right pathway track thank you be one step ahead on payment platform ape,CBE,['Transaction Performance']
it literarily don work at all,CBE,[]
good give us plus,CBE,[]
very good application however have one functionality recommendation what if you let the ape transfer money to any telebirr account as for mesa by the way am not the only one to ask this thank you,CBE,"['Account Access', 'Transaction Performance', 'Feature Requests']"
before update it was able to screenshot while after update can able to screenshot the transfer details,CBE,"['Transaction Performance', 'User Interface']"
tic be,CBE,[]
it is good ape but you have integrate be with be birr to allow careless withdrawal directly from our account,CBE,['Account Access']
great apes,CBE,[]
great ape,CBE,[]
be,CBE,[]
great when it works,CBE,[]
the ape is very good but why screenshots is impossible,CBE,['User Interface']
the best ape,CBE,[]
easy to use and user friendly,CBE,[]
well software,CBE,[]
be very good apes,CBE,[]
this application fast secure and more convenient thanks be,CBE,['Transaction Performance']
it best,CBE,[]
why did you display cash transactions and bank statement in the mobile banking ape,CBE,"['Transaction Performance', 'User Interface']"
our legitimate bank,CBE,[]
ever and never seen this kind of ape proud my be,CBE,[]
very good and safe for me,CBE,[]
very good but sometimes,CBE,[]
why not allowed to pay for fuel,CBE,[]
really this ape is more simple to use at any time in every where also it transaction quality between the users within the transaction receipt as bank that means this ape is our bank on hand in mobile frankly proud on this bank digital have no word to wrote but it have weakness on poor connection,CBE,['Transaction Performance']
great version,CBE,[]
good and easy to use,CBE,[]
nice ape and fast money transfer,CBE,['Transaction Performance']
really automated,CBE,[]
recently ape keeps closing and the notification after says this ape has bug can you make an update please,CBE,[]
there is some issue the process it delay,CBE,"['Transaction Performance', 'Customer Support']"
what an amazing application in ethiopian banking industry which is very interested one,CBE,[]
interesting,CBE,[]
it is very good ape,CBE,[]
it is very excellent anddynamic plus user friend all in one bank apes of the era loved it,CBE,[]
very god thanks,CBE,[]
the sum is good,CBE,[]
best of bests,CBE,[]
am happy thank you be,CBE,[]
it very nice,CBE,[]
the history sometimes misses transactions transfer to be birr debited but not really transferred we need to really cop up with the world for real the hacks and security problems invest on and solve them,CBE,"['Account Access', 'Transaction Performance', 'Customer Support']"
best apes for using,CBE,[]
good apes but fix the screenshot its not easy like before,CBE,['User Interface']
am not exaggerating when say that this application is one of the biggest players in the banking industry it has simplified lot of things for the user even if the bank is in his pocket but my opinion is when we transfer money there is word limit on the note at the end why can we write our reason briefly don understand why it is limited on the other hand there is no limit on the bank could you explain this when we pay for water why is the code not mentioned,CBE,['Transaction Performance']
in this update why screenshoot is disabled now it not working,CBE,['User Interface']
really don't seen like this application fast safe and comfortable,CBE,['Transaction Performance']
excellent but needed upgrading,CBE,[]
goods ape place update this apes,CBE,[]
the latest update prevents taking screenshots which is really annoying please allow us to take screenshots we need it for evidence particularly in case of transfer failure,CBE,"['Transaction Performance', 'User Interface']"
fantastic ape appreciate it very much,CBE,[]
does work properly it crashes some many times commercial bank of ethiopia not only the application but also sending money to own be birr does get your money in your bank account forcefully you must wait days to get your money back to your account walk up be the world is going to decentralized finance,CBE,"['Account Access', 'Transaction Performance']"
it crashes multiple times overtime you launch it fix it edit crash fixed but screenshots has been disabled don know who thought this was good idea,CBE,['User Interface']
why why remove screen shoot,CBE,['User Interface']
fails mid transaction no screenshot download don work link shared not working bring back the old ape this is unless,CBE,"['Transaction Performance', 'User Interface']"
very nice one,CBE,[]
good application,CBE,[]
problem solver and the best fast ape,CBE,"['Transaction Performance', 'Customer Support']"
please bring back the screenshot option the screenshot download option takes like second appear in gallery and most people don know about it,CBE,"['User Interface', 'Feature Requests']"
thank you,CBE,[]
be,CBE,[]
very nice and convenient ape,CBE,[]
there are to many bugs ape keeps crash no and the update file seems to keep getting worse,CBE,[]
great experience so far but why this ape ain working while developer mode is on,CBE,[]
why did the screen shot stopped,CBE,['User Interface']
it very good application but sometimes it takes long time to synchronize,CBE,[]
to getting money,CBE,[]
some times it is difficult to get receipts for the payment made,CBE,['Transaction Performance']
this ape is best,CBE,[]
it very useful,CBE,[]
best ape and update more features,CBE,['Feature Requests']
best ape for this vast digital financial word,CBE,[]
this ape is my favorite application,CBE,[]
hook love this application,CBE,[]
the ape protects me from screenshot after update please make revision on the ape,CBE,['User Interface']
screenshot or slip not working,CBE,['User Interface']
thank you for help,CBE,['Customer Support']
sad guys what are you doing why did you add the screenshot restriction to the ape you just made it worse it was great value to us you need to rethink it will change the star rating when you resolve the issue,CBE,"['User Interface', 'Customer Support', 'Feature Requests']"
this is helpful and have good and easy for mobile money usage in ethiopia,CBE,['Customer Support']
thank you,CBE,[]
good ape,CBE,[]
old version was very friendly to use now we can see the reason the transaction history very limited and now it crash every time it opened more over the last update prevents us from taking screenshots thanks for the developers as they are getting more stupid than ever,CBE,"['Transaction Performance', 'User Interface']"
since last week this ape has started not working it simply log in without network but can sync please fix it,CBE,[]
what an absolutely terrible update no screenshots and you still have this stupid restriction on developer options what about those of us who are actually developers at this point telebirr just wins the game be do better,CBE,"['User Interface', 'Feature Requests']"
wow its my in,CBE,[]
in the lasted update you removed the capability to screenshot transactions,CBE,"['Transaction Performance', 'User Interface', 'Feature Requests']"
how do you disable screenshots on banking ape you are very unserious people,CBE,['User Interface']
no screenshot and biometrics on this version work,CBE,"['Account Access', 'User Interface']"
not good too lame to use,CBE,[]
be ape is great,CBE,[]
its good and saving time,CBE,[]
this new update mar is great in fixing bugs stability and smooth experience all give that but it came with big shortcoming which is not allowing to take screenshot can screenshot neither my balance nor the transaction or anything within the ape understand it for security reasons but please bring that back allow us to take screenshot we need that thanks,CBE,"['Account Access', 'Transaction Performance', 'User Interface', 'Feature Requests']"
what went wrong could take screenshot,CBE,['User Interface']
ape is crushing recently please update,CBE,[]
it is good but why screenshot is forbidden,CBE,['User Interface']
taking away the screenshot of the receipt is just silly worse is the download button putting copy of the screenshot which you prevented to be taken in the downloads folder where we cant attach directly from whatsapp millions of people use the screenshot as proof of payment transfer yet you make that harder for everyone have every user contacts the developer or manager who made this awful decision,CBE,"['Transaction Performance', 'User Interface', 'Customer Support']"
very good ape,CBE,[]
new update version keeps crashing it needs maintenance,CBE,['Feature Requests']
the update is unneeded,CBE,[]
as if the update of march can take screenshot in the ape can just save it as file and that is so annoying used to save all screenshot in my gallery in one folder now with the extra steps added have to save the file go to file and then screenshot it the solution is to allow the screenshot to be save in to gallery automatically wish you give this review attention and resolve the issue shortly,CBE,"['User Interface', 'Customer Support', 'Feature Requests']"
it is good ape but when make inter bank transaction it can display the receiver account number and name of receiver and also receiver bank,CBE,"['Account Access', 'Transaction Performance', 'User Interface']"
it was nice but now it dose not opened the transactions,CBE,['Transaction Performance']
the apes is good to use,CBE,[]
it best ape but please add included payment of water bill,CBE,"['Transaction Performance', 'Feature Requests']"
the ape has bug and it keeps crashing please provide an update and fix the issue thank you,CBE,['Customer Support']
this is my favorite ape,CBE,[]
we can get mobile token on be ape or any other online this is need to improve internet banking is always say authenticate error after some weeks this is need to improve,CBE,['Feature Requests']
excellent ape for account transaction specially for business customers and good method to pay bills and different personal payment,CBE,"['Account Access', 'Transaction Performance']"
the ape has brought new problem when open the ape it closes itself then have to open it again please fix this issue if it your problem,CBE,"['Customer Support', 'Feature Requests']"
in my view can give any conclusion because it the starting of an online banking in my country however the commercial bank of ethiopia must rebuild this ape and also need to make more access to changing the system keep continuing ethiopia,CBE,"['Account Access', 'User Interface']"
very attractive and user friendly,CBE,[]
good apes,CBE,[]
my special ape and my proud bank of ethiopia,CBE,[]
the ape need update it always crash,CBE,[]
it is very comfortable and simple to use but what standing order is not work,CBE,[]
one of the best apes have used,CBE,[]
am appreciate this ape,CBE,[]
very happy using this ape thanks to developers,CBE,[]
be birr ape is my best choice,CBE,[]
exceptional incredible,CBE,[]
joyful ape,CBE,[]
unsatisfied with the new update keeps crashing every now and then and even though haven reached the max ten per day still refuses to transfer probably going to change my bank if it not fixed asap,CBE,"['Transaction Performance', 'Feature Requests']"
it is one of the disappointed bank you don suppose to include ethiopian on your name you don deserve it,CBE,['Feature Requests']
simple and easy to use,CBE,[]
it not good ape,CBE,[]
have been using be ape for long but recently it has started crashing repeatedly and even my phone is reporting that the ape has bugs and tells me to wait the developer to fix these bugs,CBE,[]
the great ape be,CBE,[]
why it asks me update repeatedly as soon as download it,CBE,[]
commercial bank rate this,CBE,[]
it is good for many aspect if can get transactions report with time duration periodically,CBE,['Transaction Performance']
best performing ape,CBE,[]
best back in ethiopia,CBE,[]
two step verification update is fake meaningless why because the ape gives you an option of to use pin while requesting two step verification step this updated ape is not differ than the previous one in case of security safeguarding users the other features of the ape are best and easy to use it,CBE,"['Account Access', 'Feature Requests']"
its good,CBE,[]
why don install,CBE,[]
glad to use it,CBE,[]
very good thank you,CBE,[]
have been customer of the commercial bank of ethiopia for many years,CBE,[]
we need this ape to work properly and it looks like an outdated,CBE,[]
the ape crashes too many times it buggy ape,CBE,[]
thank,CBE,[]
very good it is easy to use anything,CBE,[]
its good,CBE,[]
so slow with internet,CBE,['Transaction Performance']
phone ape is not working,CBE,[]
it very useful apes,CBE,[]
it is better ape,CBE,[]
good work very important,CBE,[]
it is extent ape it is helpful,CBE,['Customer Support']
it don work,CBE,[]
bad security,CBE,['Account Access']
it shame it can perform well you guys can even fix bug it getting unusable shame shame shame,CBE,[]
easy to use and efferent system,CBE,[]
great,CBE,[]
it is good but can not install the ape why and the other one is it is better to show the earliest transactions for instance before days ago,CBE,['Transaction Performance']
have been using the ape since it is first released and it has been nice but the latest update are very worse the ape crashes frequently and drains battery highly,CBE,[]
commercial bank and it mobile banking is very good,CBE,[]
friendly mobile banking application,CBE,[]
vary good,CBE,[]
star because have to visit my bank for new installation of the ape and reactivation takes about to minutes with there long queue and system failures learn from televise ape and give options to customers to apt out of this ridiculous security feature second why is there no customization in the settings for displaying which account want displayed in the first section rather that slide to my main account every time you are making us pay monthly subscription bare minimum is not it,CBE,"['Account Access', 'User Interface', 'Feature Requests']"
recently it is not working please check it,CBE,[]
this ape,CBE,[]
it is user friendly excellent ape,CBE,[]
simple and efficient,CBE,[]
it is better to use and save time truly appreciate the bank system,CBE,[]
good work,CBE,[]
simple and secure ape,CBE,[]
crashing frequently every time try to log in it so annoying,CBE,[]
fix the bug so frustrating,CBE,[]
the ape is full of bugs here and there perhaps it from the backed side ink for instance the transaction history you see on top is one made couple of months ago and you have to refresh until you reach the top it just so bizarre and you can even search for transaction you made someone with lot of transactions will find it annoying even simple things like localizing dates to amharic dates are now correctly implemented,CBE,"['Transaction Performance', 'Feature Requests']"
good experience,CBE,[]
my device install up updated all data access all function but can support transaction first login password works but can conformation last transaction password,CBE,"['Account Access', 'Transaction Performance', 'Customer Support', 'Feature Requests']"
constantly crashing after new update,CBE,['Feature Requests']
great up simple to use yet has all necessary features,CBE,['Feature Requests']
nice this is ape,CBE,[]
why can we use this ape with developer mode turned on when other big international banks apes allow it,CBE,[]
it is good application,CBE,[]
guys after the last update it crushing lot like lot look in to it,CBE,[]
the best ape,CBE,[]
this is good ape,CBE,[]
it have bug it keeps shut down when open the ape without any notification please fix the bug,CBE,[]
very best and fast money transferring ape,CBE,['Transaction Performance']
why is it so hard to use this ape why don you make it simple like other apes sometimes it does function right,CBE,['Feature Requests']
very best ape,CBE,[]
couldn't update the ape,CBE,[]
too much commission and service charges not fair at all this is stealing,CBE,['Customer Support']
it is easy and user friendly,CBE,[]
when open the ape it turns off keep says ape has bug the ape needs update,CBE,[]
solve unwanted time and the time to losses be office,CBE,[]
faced big problem with this due to developer mode problem how can you help me plus,CBE,['Customer Support']
utilizes too much power crashes often,CBE,[]
most effective so far,CBE,[]
not working normally,CBE,[]
this is the simplest bookkeeping system or method like it,CBE,[]
these days the ape is crashing immediately after login please check,CBE,['Account Access']
gave it be this ape deserves thank you for your services appreciated,CBE,['Customer Support']
fantastic and best,CBE,[]
it lags before showing the transaction and you have to use the one in the sums message why does it work on the ape it just says loading,CBE,['Transaction Performance']
very amazing application,CBE,[]
easy and fantastic to use,CBE,[]
the way its menu arranged to use is easy to use,CBE,['User Interface']
its not bad but there are plenty of errors,CBE,[]
waw fantastic application,CBE,[]
am satisfied by this a thank you,CBE,[]
best of the best application for ever,CBE,[]
this ape is better,CBE,[]
it very good in reminding the account numbers you have been used but need to show recipient history whenever you want to present it or it has to have search on options for specific time you want to look for receipts with out going for account details at bank if you lost your receipt without downloading it and need to look sometime while you can get in simple search on the ape,CBE,"['Account Access', 'Feature Requests']"
it is good ape,CBE,[]
it crashes lot it does work at all sometimes by far it is the worst mobile banking ape have ever used,CBE,[]
very buggy,CBE,[]
good apes to save my money withdraw my money to service,CBE,['Customer Support']
it easy and good,CBE,[]
it is best ape,CBE,[]
it is not functioning most of the time,CBE,['Feature Requests']
it sends unwanted welcome notification every time you login there is no way that you can disable this,CBE,"['Account Access', 'Transaction Performance']"
this ape now not open what problem please solve it,CBE,['Customer Support']
nice thanks,CBE,[]
it used to be better in the previous but after the recent update it keeps crashing as soon as it logs in it needs to be fixed,CBE,[]
can even load our transaction history,CBE,['Transaction Performance']
am happy of this ape,CBE,[]
great ape but try to include an access to water bill payment for places other than adds baba try top the ape not to be inactive while developer option setting in samsung phones is activated,CBE,"['Account Access', 'Transaction Performance', 'Feature Requests']"
very good ape,CBE,[]
this ape is very useful but sometimes when you want to see specific transactions it did work so that way gave you,CBE,['Transaction Performance']
it not bad,CBE,[]
it shut down without warning,CBE,[]
best ape of the bank but when it needs update customer must be notified in my point of view otherwise customers saying mobile banking is not working today is bad motor,CBE,['User Interface']
use this ape all the time on my business but sometimes it is difficult to use in rural areas because there is not enough network so what if you prepared it for the public to use offline,CBE,[]
this ape is very interesting and simple to use,CBE,[]
add customer service please other than calling why would you have mobile ape but not an online text based customer service why disappointing and will never use the top up feature again have been trying to recharge my safaricom balance but your ape would say time out and then credit my account but never recharge my balance why where is my money do you expect me to call at midnight,CBE,"['Account Access', 'Customer Support', 'Feature Requests']"
smart and easy to use like this ape,CBE,[]
the best ape love it,CBE,[]
is not useful,CBE,[]
it ok,CBE,[]
it good,CBE,[]
its good service,CBE,['Customer Support']
recent transactions does load properly sometimes and also when transferring to someone sometimes it says failed and but already transferred which might cause to double transfer,CBE,['Transaction Performance']
it used to work properly but not anymore used to use the ape from abroad but these days it kept saying unable to connect when tried to check my balance and do transactions,CBE,['Transaction Performance']
awash birr pro,CBE,[]
it is very important application,CBE,[]
to save my time best ape to me like this ape tax be,CBE,[]
it is shame not to appreciate the recent system improvements that the commercial bank of ethiopia has been making and have no doubt that it will be different from this inshaallah another thing would like to comment on is that the current method for transferring money to telesis can own be sent to the person so it is possible to send money directly from the commercial bank to other banks if you make it possible to transfer money directly to anyone would be very grateful thank you,CBE,"['Transaction Performance', 'Feature Requests']"
comfortable,CBE,[]
ape keeps on crashing after the latest update failures are frequent,CBE,[]
don need to update this ape,CBE,[]
good work thank you,CBE,[]
after the new update struggling to use this ape it suddenly crush or close automatically plus fix this problem,CBE,"['Customer Support', 'Feature Requests']"
very fast and easy to use,CBE,['Transaction Performance']
it is best application,CBE,[]
this apes amazing,CBE,[]
this ape is just meaningful application for our country,CBE,[]
this ape is best and fantastic because easy to use it has best security specially two specific authentication so this security is not path unauthorized person to our account history thankyou be for we give this service,CBE,"['Account Access', 'Customer Support']"
the ape is crashing several times it really annoying and sometimes it says failed during different operations please fix it,CBE,[]
new update new version not working,CBE,['Feature Requests']
that is good,CBE,[]
have seen lots of great updates right here especially the fa using the biometric security technique suggest you work on minimizing ape crashing due to the accumulation of cache very little cache crash it,CBE,['Account Access']
the best mobile banking ape in ethiopia thanks be,CBE,[]
be,CBE,[]
too poor comparing to other countries,CBE,[]
it is good,CBE,[]
updated to the new version while ago and it keeps crashing maybe you can fix it,CBE,['Feature Requests']
simple good ape,CBE,[]
after the last two update am facing the worst experience with this ape,CBE,[]
now it crashing like crazy it does even open after recent update,CBE,[]
this ape is so incredible,CBE,[]
mobil banking is the latest technology,CBE,[]
without any reason it shows white screen and can make transfers then when went to branch then they reply go to the branch where you open your account,CBE,"['Account Access', 'Transaction Performance', 'User Interface']"
it used to be the best bank ape in ethiopia but now using it is terrible experience for every transaction it shows an error message making simple payment requires to trials to complete,CBE,"['Transaction Performance', 'User Interface']"
good application,CBE,[]
the worst had to flight back to fix my ape it need you to go back every month not reliable for foreigners,CBE,[]
this should run for worst ape of the year,CBE,[]
very bad,CBE,[]
it is nice ape,CBE,[]
very nice ape,CBE,[]
it easy to use but there is some problems sometimes when update the ape in the network areas,CBE,['Customer Support']
no manage beneficiary for my ape,CBE,[]
its good but we need an option of choosing specific period to get historique of transactions for example when want to check my previous transactions only get few transactions thank you,CBE,"['Transaction Performance', 'Feature Requests']"
very good mobile ape,CBE,[]
something is wrong with the new update it keep closing itself and could made an important transaction,CBE,"['Transaction Performance', 'Feature Requests']"
the latest updates crushes repeatedly on my red note pro plus if you could correct the issue,CBE,['Customer Support']
we been using the be mobile banking ape and overall appreciate its features however we noticed that when turn on the developer options on my device the ape stops functioning properly it would be great if you could look into this issue as often need to access developer settings for other applications thank you for your attention to this matter,CBE,"['Account Access', 'Customer Support', 'Feature Requests']"
like the ape,CBE,[]
