review,rating,date,bank,vader_score,vader_sentiment
accessible to using,5,2025-05-23,CBE,0.0,neutral
why you change default network,5,2025-05-23,CBE,0.0,neutral
how to get my money,5,2025-05-23,CBE,0.0,neutral
very bad can even load they need to improve their services,1,2025-05-22,CBE,-0.2247,negative
very good ape but please make it reliable it crashes sometimes,4,2025-05-22,CBE,0.6183,positive
very busy don know why prefer,3,2025-05-22,CBE,0.0,neutral
sometimes it has nasty lag for several hour fix that the rest is,4,2025-05-22,CBE,-0.7184,negative
the most boring mobil banking application in ethiopia please use alternative private banks mobile banking apes,1,2025-05-22,CBE,-0.0754,negative
user friendly apes because this ape is easy,5,2025-05-22,CBE,0.7269,positive
very good ape,5,2025-05-22,CBE,0.4927,positive
sync problem may but the date stack on may help plus,5,2025-05-22,CBE,0.4019,positive
hate this ape,1,2025-05-22,CBE,-0.5719,negative
this ape is good and we are using it well,1,2025-05-21,CBE,0.6124,positive
very nice ape for android phone,5,2025-05-21,CBE,0.4754,positive
easy to use helpful in my life,5,2025-05-21,CBE,0.6908,positive
the best mobile banking ape,5,2025-05-21,CBE,0.6369,positive
this ape is very useful ape it saves time and it is secure,4,2025-05-21,CBE,0.6801,positive
it good application,5,2025-05-21,CBE,0.4404,positive
the screenshot and the refresh options are so annoying that makes transaction so delaying activity,2,2025-05-21,CBE,-0.541,negative
poor service,1,2025-05-21,CBE,-0.4767,negative
it is reliable and easy to use,5,2025-05-20,CBE,0.4404,positive
the most annoying mobile banking ape we ever seen,1,2025-05-20,CBE,-0.4576,negative
can make screenshout in this ape please made modification,5,2025-05-20,CBE,0.3182,positive
best ape loved it,5,2025-05-19,CBE,0.8442,positive
amazing application sometimes doesn't work,5,2025-05-18,CBE,0.5859,positive
well satisfied with this beautiful ape,5,2025-05-18,CBE,0.8316,positive
not working why,5,2025-05-17,CBE,0.0,neutral
great impact but why developer option turnoff if you fix,5,2025-05-17,CBE,0.3716,positive
always disappointing especially the is one some similar local applications are extremely superior to this application really disappointing,1,2025-05-17,CBE,-0.4404,negative
good easy to use,5,2025-05-16,CBE,0.7003,positive
good ape,5,2025-05-15,CBE,0.4404,positive
please kindly ask to update the ape and allow us to screenshot it convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen,2,2025-05-14,CBE,0.7579,positive
have using the be mobile banking ape and overall appreciate its features however we noticed that when turn on the developer options on my device the ape stop functioning properly it would be great if you could look into this issue as often need to access developer setting for otter application thankyou for your attention to this matter,4,2025-05-13,CBE,0.6932,positive
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,-0.7101,negative
it is amazing mobile banking ape but why the screenshot of the receipt doesn't work,5,2025-05-13,CBE,0.34,positive
fast and simple easy to use,5,2025-05-12,CBE,0.4404,positive
the fastest transferring ape ever had its so reliable,5,2025-05-11,CBE,0.0,neutral
funds transferred from the same bank do not reflect in the account even though confirmation text message was received,3,2025-05-11,CBE,0.0,neutral
it easy and fast,5,2025-05-10,CBE,0.4404,positive
this ape don have self activation only you have to look near be branch that disgusting,1,2025-05-10,CBE,-0.5267,negative
hello dearest be office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,0.9524,positive
wow best application ever,5,2025-05-09,CBE,0.8402,positive
am sorry but what does developer mode do to the application hack it are you sure you are developer or are you stupid doesn't makes sense,1,2025-05-08,CBE,-0.4215,negative
the pride of ethiopian bank,5,2025-05-08,CBE,0.34,positive
why the ape telling me to turn of developer options please fix it,1,2025-05-07,CBE,0.3182,positive
am very happy have small rob after transfer cant put the transfer case big to my did,5,2025-05-07,CBE,0.101,positive
all service of mobile banking,5,2025-05-06,CBE,0.0,neutral
miss the old one could send my many to other bank,1,2025-05-06,CBE,-0.1531,negative
the ape is recently crushing each time you open and try to make transfers it used to be good take lessons from the dashed super ape or ethiotelecom it is not befitting of your experience and glory in st in making it more friendly and convenient am considering leaving be for good,2,2025-05-06,CBE,0.9348,positive
good but these week not okay,4,2025-05-06,CBE,-0.0127,neutral
well designed fixing bugs two step verification with biometric simply it great,5,2025-05-06,CBE,0.7351,positive
if any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times,1,2025-05-05,CBE,0.5307,positive
it great job but one more thing it has been placed for transfer to other banks on face like mobile charge card place,5,2025-05-05,CBE,0.7003,positive
it very low quality application,1,2025-05-04,CBE,-0.3384,negative
very amazing apes,5,2025-05-04,CBE,0.624,positive
wow simple life,5,2025-05-04,CBE,0.5859,positive
it nice,5,2025-05-03,CBE,0.4215,positive
why stacked sometimes,5,2025-05-03,CBE,0.0,neutral
okay but sometimes busy,1,2025-05-03,CBE,0.1154,positive
the worst commercial company that fails to do even the most normal things again and and again,1,2025-05-03,CBE,-0.7845,negative
very good ape but disappointed by general cessation of system,5,2025-05-02,CBE,-0.4684,negative
good and fast,5,2025-05-02,CBE,0.4404,positive
best the best fast,5,2025-05-02,CBE,0.8555,positive
fast and reliable,5,2025-05-02,CBE,0.0,neutral
best ape but there is some problem can send money to telebirr or mesa so if you can add that it could be use full,4,2025-05-02,CBE,-0.2382,negative
its good and simple to use,5,2025-05-02,CBE,0.4404,positive
worst ape like that bank for security and network access,1,2025-05-02,CBE,-0.0516,negative
it the best ape,5,2025-05-02,CBE,0.6369,positive
its very nice,5,2025-05-02,CBE,0.4754,positive
it crashes frequently,4,2025-04-30,CBE,0.0,neutral
the best,5,2025-04-28,CBE,0.6369,positive
can simply describe this ape as making all your work easier,5,2025-04-28,CBE,0.4215,positive
best appearance,5,2025-04-27,CBE,0.6369,positive
it very good ape,5,2025-04-27,CBE,0.4927,positive
need support you,5,2025-04-27,CBE,0.4019,positive
the worst mobile banking have ever seen in my life,1,2025-04-26,CBE,-0.6249,negative
the best,1,2025-04-26,CBE,0.6369,positive
to other bank is bad,1,2025-04-25,CBE,-0.5423,negative
its good but add more features such like bank statement showing,5,2025-04-24,CBE,0.6804,positive
it is so nice,5,2025-04-24,CBE,0.5598,positive
my first frequent experience of be ape is critical time failure such as suspending payment on air for days with zero explanation deducting from sender account without depositing to the receiver act another fatal error by the banking company as whole not the ape itself though is forced banking with corporations without consent of employers users of the corresponding corporations,2,2025-04-21,CBE,-0.9378,negative
great ape,5,2025-04-21,CBE,0.6249,positive
well ape,5,2025-04-20,CBE,0.2732,positive
actually it is inactive,4,2025-04-19,CBE,0.0,neutral
slow only one account is used,2,2025-04-19,CBE,0.0,neutral
always be is the leading commercial bank,5,2025-04-18,CBE,0.0,neutral
why removing screenshot feature why,1,2025-04-18,CBE,0.0,neutral
nice apes where network is good in connection,5,2025-04-18,CBE,0.6908,positive
can take screenshot,1,2025-04-18,CBE,0.0,neutral
every update was made the system better and better until the march th update not allowing us to screenshot you guys did understand how much it really quick and significant thing you add extra steps to us which makes the process draw back,3,2025-04-18,CBE,0.7823,positive
perfectly special,5,2025-04-18,CBE,0.7845,positive
fast and reliable,5,2025-04-18,CBE,0.0,neutral
the best application have ever seen in ethiopia banking industry,5,2025-04-17,CBE,0.6369,positive
because sometimes it does working it load too much,3,2025-04-17,CBE,0.0,neutral
absolutely the best ape it works flawlessly anytime and anywhere,5,2025-04-17,CBE,0.7414,positive
very nice ape ever,5,2025-04-16,CBE,0.4754,positive
the best ape,5,2025-04-16,CBE,0.6369,positive
biometric security for mobile banking is not available,5,2025-04-16,CBE,0.34,positive
great ape,5,2025-04-15,CBE,0.6249,positive
it special apes,5,2025-04-15,CBE,0.4019,positive
in the updated version of the ape it takes more time to download the receipt,3,2025-04-15,CBE,0.0,neutral
very interesting ape am using every day fantastic,5,2025-04-14,CBE,0.7645,positive
can scan recognize other banks interoperable or codes,1,2025-04-13,CBE,0.0,neutral
everything wellbeok,3,2025-04-13,CBE,0.0,neutral
this mobile banking ape is fast and user friendly but the only issue encountered is that can access my bank statement within the ape kindly request that this feature be added similar to what is offered by other private bank mobile banking apes,4,2025-04-13,CBE,0.7506,positive
why did this ape is not screenshot,5,2025-04-12,CBE,0.0,neutral
it so good ape,5,2025-04-12,CBE,0.4927,positive
less network specially to make fee for utility purpose,1,2025-04-11,CBE,0.0,neutral
simply for used,4,2025-04-11,CBE,0.0,neutral
its great ape but when updating we can take screen shot please try to fix it,3,2025-04-10,CBE,0.6705,positive
everything is easy thank you cube,5,2025-04-10,CBE,0.6597,positive
but this ape says can sync,5,2025-04-09,CBE,0.0,neutral
work on screen shot system,4,2025-04-08,CBE,0.0,neutral
very very nice application,1,2025-04-08,CBE,0.5222,positive
wonder full and it is easy to use,5,2025-04-08,CBE,0.4404,positive
easy and reliable,2,2025-04-08,CBE,0.4404,positive
it is very useful ape,5,2025-04-07,CBE,0.4927,positive
commercial bank,5,2025-04-06,CBE,0.0,neutral
it is good but it does allow screen shot,4,2025-04-06,CBE,0.5106,positive
the best one,5,2025-04-06,CBE,0.6369,positive
you need to copy many things from other bank apes like mole dashed,2,2025-04-06,CBE,0.3612,positive
bring back the screenshot feature,1,2025-04-05,CBE,0.0,neutral
best ape to experience him that to smooth transaction among the customers,1,2025-04-05,CBE,0.6369,positive
nice ape suitable to use it the only weak side is it need data connections and hoping will be fixed to offline gave rate,4,2025-04-05,CBE,0.296,positive
easy to use,5,2025-04-05,CBE,0.4404,positive
good job to the be team on this mobile ape it designed in way that simple and intuitive to navigate which is great for everyone it effectively handles the essential banking tasks need to perform regularly it practical and reliable tool that makes everyday banking much more convenient thank you for this useful application,5,2025-04-04,CBE,0.9437,positive
before it was smooth and good this time after the new update in can not make screenshot of my recite even the download button is very delayed in putting my recite in my gallery for simple proof please fix this am unable to show proof of payment to my clients thankyou,3,2025-04-04,CBE,0.4601,positive
cool,4,2025-04-04,CBE,0.3182,positive
this ape is very necessary ape many people found it,5,2025-04-03,CBE,0.0,neutral
be very active bank using be ape very very satisfaction,5,2025-04-03,CBE,0.7554,positive
it made life lot easier cant even imagine having to make all those transactions in person so this ape was crucial for me very good ape well done,5,2025-04-03,CBE,0.8104,positive
thankyou,5,2025-04-02,CBE,0.0,neutral
don understand the reason why need to disable developer options to access the ape it has no security risks nor does it hinder the ape functionalities this goes out to the de hope your life is filled with inconveniences,1,2025-04-02,CBE,0.3975,positive
it great,5,2025-04-02,CBE,0.6249,positive
very good ape and stars faction with work,5,2025-04-02,CBE,0.4927,positive
it is excellent,5,2025-04-01,CBE,0.5719,positive
very interesting ape,5,2025-04-01,CBE,0.4576,positive
wow be keep it up,5,2025-04-01,CBE,0.5859,positive
the most useful,5,2025-04-01,CBE,0.4927,positive
am more satisfied in this ape more sure you have to secure,4,2025-04-01,CBE,0.7956,positive
easy to use,5,2025-04-01,CBE,0.4404,positive
very good but sometimes our be comes without my consent even if choose locked it appears,4,2025-04-01,CBE,0.0252,neutral
lucky to have this thank you be,5,2025-04-01,CBE,0.6883,positive
it need more improvement like bellbird,4,2025-04-01,CBE,0.7245,positive
very nice ape,5,2025-04-01,CBE,0.4754,positive
safe easy fast,5,2025-04-01,CBE,0.7003,positive
it good ape,5,2025-04-01,CBE,0.4404,positive
it is very useful ape but screen shout was impossible solve this problem,5,2025-04-01,CBE,-0.2242,negative
dear be this ape is not comparable with century and plus try to solve it,1,2025-04-01,CBE,0.5267,positive
best transaction method of financial,5,2025-04-01,CBE,0.6369,positive
be is now going to on the right pathway track thank you be one step ahead on payment platform ape,5,2025-04-01,CBE,0.3612,positive
it literarily don work at all,4,2025-04-01,CBE,0.0,neutral
good give us plus,5,2025-04-01,CBE,0.4404,positive
very good application however have one functionality recommendation what if you let the ape transfer money to any telebirr account as for mesa by the way am not the only one to ask this thank you,4,2025-04-01,CBE,0.7243,positive
before update it was able to screenshot while after update can able to screenshot the transfer details,4,2025-04-01,CBE,0.0,neutral
tic be,5,2025-04-01,CBE,0.0,neutral
it is good ape but you have integrate be with be birr to allow careless withdrawal directly from our account,4,2025-03-31,CBE,0.0516,positive
great apes,5,2025-03-31,CBE,0.6249,positive
great ape,4,2025-03-31,CBE,0.6249,positive
be,5,2025-03-31,CBE,0.0,neutral
great when it works,5,2025-03-31,CBE,0.6249,positive
the ape is very good but why screenshots is impossible,5,2025-03-31,CBE,0.2724,positive
the best ape,5,2025-03-31,CBE,0.6369,positive
easy to use and user friendly,5,2025-03-31,CBE,0.7269,positive
well software,5,2025-03-31,CBE,0.2732,positive
be very good apes,5,2025-03-31,CBE,0.4927,positive
this application fast secure and more convenient thanks be,5,2025-03-31,CBE,0.6786,positive
it best,5,2025-03-31,CBE,0.6369,positive
why did you display cash transactions and bank statement in the mobile banking ape,4,2025-03-31,CBE,0.0,neutral
our legitimate bank,4,2025-03-31,CBE,0.0,neutral
ever and never seen this kind of ape proud my be,5,2025-03-31,CBE,0.4767,positive
very good and safe for me,5,2025-03-31,CBE,0.7474,positive
very good but sometimes,4,2025-03-31,CBE,0.2724,positive
why not allowed to pay for fuel,4,2025-03-31,CBE,0.0762,positive
really this ape is more simple to use at any time in every where also it transaction quality between the users within the transaction receipt as bank that means this ape is our bank on hand in mobile frankly proud on this bank digital have no word to wrote but it have weakness on poor connection,5,2025-03-31,CBE,-0.743,negative
great version,5,2025-03-31,CBE,0.6249,positive
good and easy to use,5,2025-03-31,CBE,0.7003,positive
nice ape and fast money transfer,5,2025-03-31,CBE,0.4215,positive
really automated,5,2025-03-31,CBE,0.0,neutral
recently ape keeps closing and the notification after says this ape has bug can you make an update please,4,2025-03-31,CBE,0.3182,positive
there is some issue the process it delay,3,2025-03-31,CBE,-0.3182,negative
what an amazing application in ethiopian banking industry which is very interested one,5,2025-03-31,CBE,0.7778,positive
interesting,3,2025-03-30,CBE,0.4019,positive
it is very good ape,5,2025-03-30,CBE,0.4927,positive
it is very excellent anddynamic plus user friend all in one bank apes of the era loved it,5,2025-03-30,CBE,0.902,positive
very god thanks,5,2025-03-30,CBE,0.6779,positive
the sum is good,3,2025-03-30,CBE,0.4404,positive
best of bests,5,2025-03-30,CBE,0.6369,positive
am happy thank you be,5,2025-03-30,CBE,0.7351,positive
it very nice,5,2025-03-30,CBE,0.4754,positive
the history sometimes misses transactions transfer to be birr debited but not really transferred we need to really cop up with the world for real the hacks and security problems invest on and solve them,3,2025-03-30,CBE,0.0772,positive
best apes for using,5,2025-03-30,CBE,0.6369,positive
good apes but fix the screenshot its not easy like before,5,2025-03-29,CBE,-0.5892,negative
am not exaggerating when say that this application is one of the biggest players in the banking industry it has simplified lot of things for the user even if the bank is in his pocket but my opinion is when we transfer money there is word limit on the note at the end why can we write our reason briefly don understand why it is limited on the other hand there is no limit on the bank could you explain this when we pay for water why is the code not mentioned,5,2025-03-29,CBE,-0.0493,neutral
in this update why screenshoot is disabled now it not working,1,2025-03-28,CBE,0.0,neutral
really don't seen like this application fast safe and comfortable,5,2025-03-28,CBE,0.5895,positive
excellent but needed upgrading,5,2025-03-28,CBE,0.3291,positive
goods ape place update this apes,4,2025-03-28,CBE,0.0,neutral
the latest update prevents taking screenshots which is really annoying please allow us to take screenshots we need it for evidence particularly in case of transfer failure,1,2025-03-27,CBE,-0.3074,negative
fantastic ape appreciate it very much,5,2025-03-27,CBE,0.743,positive
does work properly it crashes some many times commercial bank of ethiopia not only the application but also sending money to own be birr does get your money in your bank account forcefully you must wait days to get your money back to your account walk up be the world is going to decentralized finance,1,2025-03-26,CBE,0.0,neutral
it crashes multiple times overtime you launch it fix it edit crash fixed but screenshots has been disabled don know who thought this was good idea,1,2025-03-26,CBE,0.4588,positive
why why remove screen shoot,2,2025-03-26,CBE,-0.34,negative
fails mid transaction no screenshot download don work link shared not working bring back the old ape this is unless,1,2025-03-26,CBE,-0.3818,negative
very nice one,5,2025-03-26,CBE,0.4754,positive
good application,5,2025-03-25,CBE,0.4404,positive
problem solver and the best fast ape,5,2025-03-25,CBE,0.3612,positive
please bring back the screenshot option the screenshot download option takes like second appear in gallery and most people don know about it,3,2025-03-25,CBE,0.5859,positive
thank you,5,2025-03-25,CBE,0.3612,positive
be,5,2025-03-25,CBE,0.0,neutral
very nice and convenient ape,5,2025-03-24,CBE,0.4754,positive
there are to many bugs ape keeps crash no and the update file seems to keep getting worse,2,2025-03-24,CBE,-0.7906,negative
great experience so far but why this ape ain working while developer mode is on,4,2025-03-24,CBE,0.3716,positive
why did the screen shot stopped,3,2025-03-24,CBE,-0.2263,negative
it very good application but sometimes it takes long time to synchronize,4,2025-03-23,CBE,0.2724,positive
to getting money,5,2025-03-23,CBE,0.0,neutral
some times it is difficult to get receipts for the payment made,1,2025-03-23,CBE,-0.3612,negative
this ape is best,1,2025-03-23,CBE,0.6369,positive
it very useful,5,2025-03-23,CBE,0.4927,positive
best ape and update more features,5,2025-03-23,CBE,0.6369,positive
best ape for this vast digital financial word,5,2025-03-23,CBE,0.6369,positive
this ape is my favorite application,5,2025-03-23,CBE,0.4588,positive
hook love this application,5,2025-03-22,CBE,0.6369,positive
the ape protects me from screenshot after update please make revision on the ape,4,2025-03-22,CBE,0.5574,positive
screenshot or slip not working,2,2025-03-22,CBE,0.0,neutral
thank you for help,5,2025-03-22,CBE,0.6369,positive
sad guys what are you doing why did you add the screenshot restriction to the ape you just made it worse it was great value to us you need to rethink it will change the star rating when you resolve the issue,1,2025-03-22,CBE,0.2023,positive
this is helpful and have good and easy for mobile money usage in ethiopia,5,2025-03-22,CBE,0.8225,positive
thank you,5,2025-03-22,CBE,0.3612,positive
good ape,5,2025-03-22,CBE,0.4404,positive
old version was very friendly to use now we can see the reason the transaction history very limited and now it crash every time it opened more over the last update prevents us from taking screenshots thanks for the developers as they are getting more stupid than ever,1,2025-03-21,CBE,-0.2247,negative
since last week this ape has started not working it simply log in without network but can sync please fix it,5,2025-03-21,CBE,0.4497,positive
what an absolutely terrible update no screenshots and you still have this stupid restriction on developer options what about those of us who are actually developers at this point telebirr just wins the game be do better,1,2025-03-21,CBE,-0.6549,negative
wow its my in,5,2025-03-21,CBE,0.5859,positive
in the lasted update you removed the capability to screenshot transactions,3,2025-03-21,CBE,0.0,neutral
how do you disable screenshots on banking ape you are very unserious people,1,2025-03-21,CBE,0.0,neutral
no screenshot and biometrics on this version work,3,2025-03-21,CBE,-0.296,negative
not good too lame to use,1,2025-03-21,CBE,-0.0191,neutral
be ape is great,5,2025-03-20,CBE,0.6249,positive
its good and saving time,5,2025-03-20,CBE,0.4404,positive
this new update mar is great in fixing bugs stability and smooth experience all give that but it came with big shortcoming which is not allowing to take screenshot can screenshot neither my balance nor the transaction or anything within the ape understand it for security reasons but please bring that back allow us to take screenshot we need that thanks,4,2025-03-20,CBE,0.93,positive
what went wrong could take screenshot,3,2025-03-20,CBE,-0.4767,negative
ape is crushing recently please update,4,2025-03-20,CBE,-0.0516,negative
it is good but why screenshot is forbidden,4,2025-03-20,CBE,-0.4118,negative
taking away the screenshot of the receipt is just silly worse is the download button putting copy of the screenshot which you prevented to be taken in the downloads folder where we cant attach directly from whatsapp millions of people use the screenshot as proof of payment transfer yet you make that harder for everyone have every user contacts the developer or manager who made this awful decision,1,2025-03-20,CBE,-0.7506,negative
very good ape,5,2025-03-20,CBE,0.4927,positive
new update version keeps crashing it needs maintenance,3,2025-03-19,CBE,0.0,neutral
the update is unneeded,1,2025-03-19,CBE,0.0,neutral
as if the update of march can take screenshot in the ape can just save it as file and that is so annoying used to save all screenshot in my gallery in one folder now with the extra steps added have to save the file go to file and then screenshot it the solution is to allow the screenshot to be save in to gallery automatically wish you give this review attention and resolve the issue shortly,2,2025-03-19,CBE,0.9502,positive
it is good ape but when make inter bank transaction it can display the receiver account number and name of receiver and also receiver bank,4,2025-03-19,CBE,0.34,positive
it was nice but now it dose not opened the transactions,5,2025-03-18,CBE,0.2263,positive
the apes is good to use,5,2025-03-17,CBE,0.4404,positive
it best ape but please add included payment of water bill,4,2025-03-17,CBE,0.6757,positive
the ape has bug and it keeps crashing please provide an update and fix the issue thank you,3,2025-03-17,CBE,0.5859,positive
this is my favorite ape,5,2025-03-17,CBE,0.4588,positive
we can get mobile token on be ape or any other online this is need to improve internet banking is always say authenticate error after some weeks this is need to improve,4,2025-03-16,CBE,0.4767,positive
excellent ape for account transaction specially for business customers and good method to pay bills and different personal payment,5,2025-03-15,CBE,0.7351,positive
the ape has brought new problem when open the ape it closes itself then have to open it again please fix this issue if it your problem,3,2025-03-14,CBE,-0.4767,negative
in my view can give any conclusion because it the starting of an online banking in my country however the commercial bank of ethiopia must rebuild this ape and also need to make more access to changing the system keep continuing ethiopia,5,2025-03-14,CBE,0.0,neutral
very attractive and user friendly,5,2025-03-13,CBE,0.7501,positive
good apes,5,2025-03-13,CBE,0.4404,positive
my special ape and my proud bank of ethiopia,5,2025-03-13,CBE,0.7003,positive
the ape need update it always crash,1,2025-03-13,CBE,-0.4019,negative
it is very comfortable and simple to use but what standing order is not work,5,2025-03-13,CBE,0.3174,positive
one of the best apes have used,5,2025-03-13,CBE,0.6369,positive
am appreciate this ape,5,2025-03-13,CBE,0.4019,positive
very happy using this ape thanks to developers,5,2025-03-12,CBE,0.7841,positive
be birr ape is my best choice,5,2025-03-12,CBE,0.6369,positive
exceptional incredible,5,2025-03-12,CBE,0.0,neutral
joyful ape,5,2025-03-11,CBE,0.5994,positive
unsatisfied with the new update keeps crashing every now and then and even though haven reached the max ten per day still refuses to transfer probably going to change my bank if it not fixed asap,1,2025-03-10,CBE,-0.3182,negative
it is one of the disappointed bank you don suppose to include ethiopian on your name you don deserve it,1,2025-03-10,CBE,-0.4767,negative
simple and easy to use,5,2025-03-10,CBE,0.4404,positive
it not good ape,5,2025-03-10,CBE,-0.3412,negative
have been using be ape for long but recently it has started crashing repeatedly and even my phone is reporting that the ape has bugs and tells me to wait the developer to fix these bugs,1,2025-03-09,CBE,0.0,neutral
the great ape be,5,2025-03-09,CBE,0.6249,positive
why it asks me update repeatedly as soon as download it,1,2025-03-09,CBE,0.0,neutral
commercial bank rate this,5,2025-03-08,CBE,0.0,neutral
it is good for many aspect if can get transactions report with time duration periodically,3,2025-03-07,CBE,0.4404,positive
best performing ape,5,2025-03-07,CBE,0.6369,positive
best back in ethiopia,5,2025-03-06,CBE,0.6369,positive
two step verification update is fake meaningless why because the ape gives you an option of to use pin while requesting two step verification step this updated ape is not differ than the previous one in case of security safeguarding users the other features of the ape are best and easy to use it,1,2025-03-06,CBE,0.6808,positive
its good,5,2025-03-05,CBE,0.4404,positive
why don install,5,2025-03-05,CBE,0.0,neutral
glad to use it,5,2025-03-05,CBE,0.4588,positive
very good thank you,5,2025-03-04,CBE,0.7159,positive
have been customer of the commercial bank of ethiopia for many years,5,2025-03-03,CBE,0.0,neutral
we need this ape to work properly and it looks like an outdated,2,2025-03-03,CBE,0.3612,positive
the ape crashes too many times it buggy ape,1,2025-03-03,CBE,0.0,neutral
thank,5,2025-03-02,CBE,0.3612,positive
very good it is easy to use anything,5,2025-03-01,CBE,0.7264,positive
its good,5,2025-03-01,CBE,0.4404,positive
so slow with internet,1,2025-03-01,CBE,0.0,neutral
phone ape is not working,2,2025-03-01,CBE,0.0,neutral
it very useful apes,5,2025-03-01,CBE,0.4927,positive
it is better ape,5,2025-03-01,CBE,0.4404,positive
good work very important,5,2025-03-01,CBE,0.6115,positive
it is extent ape it is helpful,5,2025-02-28,CBE,0.4215,positive
it don work,1,2025-02-28,CBE,0.0,neutral
bad security,2,2025-02-28,CBE,-0.2732,negative
it shame it can perform well you guys can even fix bug it getting unusable shame shame shame,1,2025-02-28,CBE,-0.8834,negative
easy to use and efferent system,5,2025-02-28,CBE,0.4404,positive
great,5,2025-02-28,CBE,0.6249,positive
it is good but can not install the ape why and the other one is it is better to show the earliest transactions for instance before days ago,3,2025-02-27,CBE,0.7003,positive
have been using the ape since it is first released and it has been nice but the latest update are very worse the ape crashes frequently and drains battery highly,3,2025-02-27,CBE,-0.5704,negative
commercial bank and it mobile banking is very good,5,2025-02-27,CBE,0.4927,positive
friendly mobile banking application,5,2025-02-27,CBE,0.4939,positive
vary good,5,2025-02-27,CBE,0.4404,positive
star because have to visit my bank for new installation of the ape and reactivation takes about to minutes with there long queue and system failures learn from televise ape and give options to customers to apt out of this ridiculous security feature second why is there no customization in the settings for displaying which account want displayed in the first section rather that slide to my main account every time you are making us pay monthly subscription bare minimum is not it,1,2025-02-26,CBE,-0.698,negative
recently it is not working please check it,2,2025-02-26,CBE,-0.2411,negative
this ape,5,2025-02-26,CBE,0.0,neutral
it is user friendly excellent ape,5,2025-02-26,CBE,0.7845,positive
simple and efficient,5,2025-02-26,CBE,0.4215,positive
it is better to use and save time truly appreciate the bank system,5,2025-02-25,CBE,0.8934,positive
good work,5,2025-02-25,CBE,0.4404,positive
simple and secure ape,5,2025-02-25,CBE,0.34,positive
crashing frequently every time try to log in it so annoying,1,2025-02-25,CBE,-0.541,negative
