review,rating,date,bank,distilbert_score,distilbert_sentiment
was using this ape for the last two years with no problems it stopped working about months ago when tried to transfer funds it gives me error can do this transaction inactive account,4,2025-05-27,CBE,-0.999670147895813,negative
like everything of this ape,5,2025-05-27,CBE,-0.8528748750686646,negative
be is the best financial application and and very dimple to use would like to say thank you so much for the developer of application really appreciate this ape,5,2025-05-26,CBE,0.9993176460266113,positive
it awesome,5,2025-05-25,CBE,0.9998730421066284,positive
thankyou every one,5,2025-05-25,CBE,0.9998461008071899,positive
this ape is absolutely fantastic love it and enjoying to it let us support this foundation together,5,2025-05-25,CBE,0.9998840093612671,positive
the be ape has been highly unreliable in recent weeks it frequently fails to work properly on both ethic telecoms and safaricom networks whether using i i or mobile data this week the system was down entirely for extended periods making it very difficult to access banking services the ape only functions intermittently and the lack of consistency is frustrating hope the issues are addressed soon and that any non technical influences are removed from such essential services,2,2025-05-25,CBE,-0.9997374415397644,negative
mortuary ape,5,2025-05-25,CBE,-0.983106255531311,negative
it is smart ape but it has stopped after some period of time on my device with out any reason,5,2025-05-25,CBE,-0.9948719143867493,negative
amazing ape am used this ape for one year,4,2025-05-24,CBE,0.998571515083313,positive
good ape,5,2025-05-24,CBE,0.9998431205749512,positive
it makes life easy,5,2025-05-24,CBE,0.9996939897537231,positive
its not fast,1,2025-05-24,CBE,-0.9949808716773987,negative
accessible to using,5,2025-05-23,CBE,0.999116837978363,positive
why you change default network,5,2025-05-23,CBE,-0.993885338306427,negative
how to get my money,5,2025-05-23,CBE,-0.9875297546386719,negative
very bad can even load they need to improve their services,1,2025-05-22,CBE,-0.9998090863227844,negative
very good ape but please make it reliable it crashes sometimes,4,2025-05-22,CBE,0.9861660003662109,positive
very busy don know why prefer,3,2025-05-22,CBE,-0.9938878417015076,negative
sometimes it has nasty lag for several hour fix that the rest is,4,2025-05-22,CBE,-0.9973505735397339,negative
the most boring mobil banking application in ethiopia please use alternative private banks mobile banking apes,1,2025-05-22,CBE,-0.9984488487243652,negative
user friendly apes because this ape is easy,5,2025-05-22,CBE,-0.9671949148178101,negative
very good ape,5,2025-05-22,CBE,0.9998608827590942,positive
sync problem may but the date stack on may help plus,5,2025-05-22,CBE,-0.8945466876029968,negative
hate this ape,1,2025-05-22,CBE,-0.9992905855178833,negative
this ape is good and we are using it well,1,2025-05-21,CBE,0.9998527765274048,positive
very nice ape for android phone,5,2025-05-21,CBE,0.9985138773918152,positive
easy to use helpful in my life,5,2025-05-21,CBE,0.9981144666671753,positive
the best mobile banking ape,5,2025-05-21,CBE,0.9997403025627136,positive
this ape is very useful ape it saves time and it is secure,4,2025-05-21,CBE,0.9988191723823547,positive
it good application,5,2025-05-21,CBE,0.9998661279678345,positive
the screenshot and the refresh options are so annoying that makes transaction so delaying activity,2,2025-05-21,CBE,-0.9997280240058899,negative
poor service,1,2025-05-21,CBE,-0.9996534585952759,negative
it is reliable and easy to use,5,2025-05-20,CBE,0.9998352527618408,positive
the most annoying mobile banking ape we ever seen,1,2025-05-20,CBE,-0.9993714690208435,negative
can make screenshout in this ape please made modification,5,2025-05-20,CBE,-0.9770985245704651,negative
best ape loved it,5,2025-05-19,CBE,0.9993239641189575,positive
amazing application sometimes doesn't work,5,2025-05-18,CBE,-0.995712161064148,negative
well satisfied with this beautiful ape,5,2025-05-18,CBE,0.9998123049736023,positive
not working why,5,2025-05-17,CBE,-0.9997853636741638,negative
great impact but why developer option turnoff if you fix,5,2025-05-17,CBE,-0.985985517501831,negative
always disappointing especially the is one some similar local applications are extremely superior to this application really disappointing,1,2025-05-17,CBE,-0.9996457099914551,negative
good easy to use,5,2025-05-16,CBE,0.9998434782028198,positive
good ape,5,2025-05-15,CBE,0.9998431205749512,positive
please kindly ask to update the ape and allow us to screenshot it convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen,2,2025-05-14,CBE,-0.6850281357765198,negative
have using the be mobile banking ape and overall appreciate its features however we noticed that when turn on the developer options on my device the ape stop functioning properly it would be great if you could look into this issue as often need to access developer setting for otter application thankyou for your attention to this matter,4,2025-05-13,CBE,-0.9905977845191956,negative
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,-0.9996613264083862,negative
it is amazing mobile banking ape but why the screenshot of the receipt doesn't work,5,2025-05-13,CBE,-0.997663140296936,negative
fast and simple easy to use,5,2025-05-12,CBE,0.9994363188743591,positive
the fastest transferring ape ever had its so reliable,5,2025-05-11,CBE,0.9879531860351562,positive
funds transferred from the same bank do not reflect in the account even though confirmation text message was received,3,2025-05-11,CBE,-0.9983327984809875,negative
it easy and fast,5,2025-05-10,CBE,0.999619722366333,positive
this ape don have self activation only you have to look near be branch that disgusting,1,2025-05-10,CBE,-0.9935156106948853,negative
hello dearest be office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,0.9993513226509094,positive
wow best application ever,5,2025-05-09,CBE,0.9997984766960144,positive
am sorry but what does developer mode do to the application hack it are you sure you are developer or are you stupid doesn't makes sense,1,2025-05-08,CBE,-0.9996281862258911,negative
the pride of ethiopian bank,5,2025-05-08,CBE,0.9996613264083862,positive
why the ape telling me to turn of developer options please fix it,1,2025-05-07,CBE,-0.9992086291313171,negative
am very happy have small rob after transfer cant put the transfer case big to my did,5,2025-05-07,CBE,0.9942458271980286,positive
all service of mobile banking,5,2025-05-06,CBE,0.892425537109375,positive
miss the old one could send my many to other bank,1,2025-05-06,CBE,-0.9994114637374878,negative
the ape is recently crushing each time you open and try to make transfers it used to be good take lessons from the dashed super ape or ethiotelecom it is not befitting of your experience and glory in st in making it more friendly and convenient am considering leaving be for good,2,2025-05-06,CBE,-0.9982483386993408,negative
good but these week not okay,4,2025-05-06,CBE,-0.9844313263893127,negative
well designed fixing bugs two step verification with biometric simply it great,5,2025-05-06,CBE,0.9983225464820862,positive
if any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times,1,2025-05-05,CBE,-0.9976102113723755,negative
it great job but one more thing it has been placed for transfer to other banks on face like mobile charge card place,5,2025-05-05,CBE,-0.9832616448402405,negative
it very low quality application,1,2025-05-04,CBE,-0.9992049336433411,negative
very amazing apes,5,2025-05-04,CBE,0.999850869178772,positive
wow simple life,5,2025-05-04,CBE,0.9997076392173767,positive
it nice,5,2025-05-03,CBE,0.9998676776885986,positive
why stacked sometimes,5,2025-05-03,CBE,-0.9941052198410034,negative
okay but sometimes busy,1,2025-05-03,CBE,-0.648781955242157,negative
the worst commercial company that fails to do even the most normal things again and and again,1,2025-05-03,CBE,-0.999797523021698,negative
very good ape but disappointed by general cessation of system,5,2025-05-02,CBE,-0.9969481825828552,negative
good and fast,5,2025-05-02,CBE,0.9998561143875122,positive
best the best fast,5,2025-05-02,CBE,0.9998427629470825,positive
fast and reliable,5,2025-05-02,CBE,0.9998595714569092,positive
best ape but there is some problem can send money to telebirr or mesa so if you can add that it could be use full,4,2025-05-02,CBE,-0.9991627931594849,negative
its good and simple to use,5,2025-05-02,CBE,0.9998610019683838,positive
worst ape like that bank for security and network access,1,2025-05-02,CBE,-0.999757707118988,negative
it the best ape,5,2025-05-02,CBE,0.9998539686203003,positive
its very nice,5,2025-05-02,CBE,0.9998526573181152,positive
it crashes frequently,4,2025-04-30,CBE,-0.9993256330490112,negative
the best,5,2025-04-28,CBE,0.9998332262039185,positive
can simply describe this ape as making all your work easier,5,2025-04-28,CBE,-0.9671924114227295,negative
best appearance,5,2025-04-27,CBE,0.9996986389160156,positive
it very good ape,5,2025-04-27,CBE,0.9998613595962524,positive
need support you,5,2025-04-27,CBE,-0.6211983561515808,negative
the worst mobile banking have ever seen in my life,1,2025-04-26,CBE,-0.9997879862785339,negative
the best,1,2025-04-26,CBE,0.9998332262039185,positive
to other bank is bad,1,2025-04-25,CBE,-0.9997149109840393,negative
its good but add more features such like bank statement showing,5,2025-04-24,CBE,0.9903160929679871,positive
it is so nice,5,2025-04-24,CBE,0.9998714923858643,positive
my first frequent experience of be ape is critical time failure such as suspending payment on air for days with zero explanation deducting from sender account without depositing to the receiver act another fatal error by the banking company as whole not the ape itself though is forced banking with corporations without consent of employers users of the corresponding corporations,2,2025-04-21,CBE,-0.9995442032814026,negative
great ape,5,2025-04-21,CBE,0.9831798076629639,positive
well ape,5,2025-04-20,CBE,0.8482366800308228,positive
actually it is inactive,4,2025-04-19,CBE,-0.9996483325958252,negative
slow only one account is used,2,2025-04-19,CBE,-0.999724805355072,negative
always be is the leading commercial bank,5,2025-04-18,CBE,0.9995124340057373,positive
why removing screenshot feature why,1,2025-04-18,CBE,-0.9946369528770447,negative
nice apes where network is good in connection,5,2025-04-18,CBE,0.9947288632392883,positive
can take screenshot,1,2025-04-18,CBE,0.9674853682518005,positive
every update was made the system better and better until the march th update not allowing us to screenshot you guys did understand how much it really quick and significant thing you add extra steps to us which makes the process draw back,3,2025-04-18,CBE,-0.995254635810852,negative
perfectly special,5,2025-04-18,CBE,0.999879002571106,positive
fast and reliable,5,2025-04-18,CBE,0.9998595714569092,positive
the best application have ever seen in ethiopia banking industry,5,2025-04-17,CBE,0.9996671676635742,positive
because sometimes it does working it load too much,3,2025-04-17,CBE,-0.9996371269226074,negative
absolutely the best ape it works flawlessly anytime and anywhere,5,2025-04-17,CBE,0.9998587369918823,positive
very nice ape ever,5,2025-04-16,CBE,0.9998495578765869,positive
the best ape,5,2025-04-16,CBE,0.9998503923416138,positive
biometric security for mobile banking is not available,5,2025-04-16,CBE,-0.9996340274810791,negative
great ape,5,2025-04-15,CBE,0.9831798076629639,positive
it special apes,5,2025-04-15,CBE,0.9975747466087341,positive
in the updated version of the ape it takes more time to download the receipt,3,2025-04-15,CBE,-0.999056875705719,negative
very interesting ape am using every day fantastic,5,2025-04-14,CBE,0.9998076558113098,positive
can scan recognize other banks interoperable or codes,1,2025-04-13,CBE,-0.9920519590377808,negative
everything wellbeok,3,2025-04-13,CBE,0.9803162217140198,positive
this mobile banking ape is fast and user friendly but the only issue encountered is that can access my bank statement within the ape kindly request that this feature be added similar to what is offered by other private bank mobile banking apes,4,2025-04-13,CBE,-0.9838648438453674,negative
why did this ape is not screenshot,5,2025-04-12,CBE,-0.9966503977775574,negative
it so good ape,5,2025-04-12,CBE,0.9998605251312256,positive
less network specially to make fee for utility purpose,1,2025-04-11,CBE,-0.9910152554512024,negative
simply for used,4,2025-04-11,CBE,-0.9918004870414734,negative
its great ape but when updating we can take screen shot please try to fix it,3,2025-04-10,CBE,-0.9951876401901245,negative
everything is easy thank you cube,5,2025-04-10,CBE,0.9998606443405151,positive
but this ape says can sync,5,2025-04-09,CBE,0.9932476282119751,positive
work on screen shot system,4,2025-04-08,CBE,-0.5902688503265381,negative
very very nice application,1,2025-04-08,CBE,0.9998623132705688,positive
wonder full and it is easy to use,5,2025-04-08,CBE,0.9996142387390137,positive
easy and reliable,2,2025-04-08,CBE,0.9998584985733032,positive
it is very useful ape,5,2025-04-07,CBE,0.9975760579109192,positive
commercial bank,5,2025-04-06,CBE,0.5637841820716858,positive
it is good but it does allow screen shot,4,2025-04-06,CBE,0.9997677206993103,positive
the best one,5,2025-04-06,CBE,0.9998371601104736,positive
you need to copy many things from other bank apes like mole dashed,2,2025-04-06,CBE,-0.9994969367980957,negative
bring back the screenshot feature,1,2025-04-05,CBE,0.9950326681137085,positive
best ape to experience him that to smooth transaction among the customers,1,2025-04-05,CBE,0.9919889569282532,positive
nice ape suitable to use it the only weak side is it need data connections and hoping will be fixed to offline gave rate,4,2025-04-05,CBE,-0.9778403639793396,negative
easy to use,5,2025-04-05,CBE,0.9988542795181274,positive
good job to the be team on this mobile ape it designed in way that simple and intuitive to navigate which is great for everyone it effectively handles the essential banking tasks need to perform regularly it practical and reliable tool that makes everyday banking much more convenient thank you for this useful application,5,2025-04-04,CBE,0.9997112154960632,positive
before it was smooth and good this time after the new update in can not make screenshot of my recite even the download button is very delayed in putting my recite in my gallery for simple proof please fix this am unable to show proof of payment to my clients thankyou,3,2025-04-04,CBE,-0.9993311166763306,negative
cool,4,2025-04-04,CBE,0.9998509883880615,positive
this ape is very necessary ape many people found it,5,2025-04-03,CBE,0.9823163151741028,positive
be very active bank using be ape very very satisfaction,5,2025-04-03,CBE,0.7609954476356506,positive
it made life lot easier cant even imagine having to make all those transactions in person so this ape was crucial for me very good ape well done,5,2025-04-03,CBE,0.9989110231399536,positive
thankyou,5,2025-04-02,CBE,0.9998428821563721,positive
don understand the reason why need to disable developer options to access the ape it has no security risks nor does it hinder the ape functionalities this goes out to the de hope your life is filled with inconveniences,1,2025-04-02,CBE,-0.9941802024841309,negative
it great,5,2025-04-02,CBE,0.9998733997344971,positive
very good ape and stars faction with work,5,2025-04-02,CBE,0.999843955039978,positive
it is excellent,5,2025-04-01,CBE,0.999869704246521,positive
very interesting ape,5,2025-04-01,CBE,0.9997321963310242,positive
wow be keep it up,5,2025-04-01,CBE,0.9995392560958862,positive
the most useful,5,2025-04-01,CBE,0.9997223019599915,positive
am more satisfied in this ape more sure you have to secure,4,2025-04-01,CBE,0.8188295960426331,positive
easy to use,5,2025-04-01,CBE,0.9988542795181274,positive
very good but sometimes our be comes without my consent even if choose locked it appears,4,2025-04-01,CBE,-0.7660563588142395,negative
lucky to have this thank you be,5,2025-04-01,CBE,0.9998786449432373,positive
it need more improvement like bellbird,4,2025-04-01,CBE,-0.9937829375267029,negative
very nice ape,5,2025-04-01,CBE,0.9998196959495544,positive
safe easy fast,5,2025-04-01,CBE,0.9993506073951721,positive
it good ape,5,2025-04-01,CBE,0.9998546838760376,positive
it is very useful ape but screen shout was impossible solve this problem,5,2025-04-01,CBE,-0.9975099563598633,negative
dear be this ape is not comparable with century and plus try to solve it,1,2025-04-01,CBE,-0.9985874891281128,negative
best transaction method of financial,5,2025-04-01,CBE,0.9995972514152527,positive
be is now going to on the right pathway track thank you be one step ahead on payment platform ape,5,2025-04-01,CBE,0.9980574250221252,positive
it literarily don work at all,4,2025-04-01,CBE,0.9359276294708252,positive
good give us plus,5,2025-04-01,CBE,0.9998716115951538,positive
very good application however have one functionality recommendation what if you let the ape transfer money to any telebirr account as for mesa by the way am not the only one to ask this thank you,4,2025-04-01,CBE,-0.9302510023117065,negative
before update it was able to screenshot while after update can able to screenshot the transfer details,4,2025-04-01,CBE,-0.8931589722633362,negative
tic be,5,2025-04-01,CBE,-0.9814479947090149,negative
it is good ape but you have integrate be with be birr to allow careless withdrawal directly from our account,4,2025-03-31,CBE,-0.9933691620826721,negative
great apes,5,2025-03-31,CBE,0.9959636926651001,positive
great ape,4,2025-03-31,CBE,0.9831798076629639,positive
be,5,2025-03-31,CBE,0.9619516730308533,positive
great when it works,5,2025-03-31,CBE,0.9998693466186523,positive
the ape is very good but why screenshots is impossible,5,2025-03-31,CBE,-0.9921658039093018,negative
the best ape,5,2025-03-31,CBE,0.9998503923416138,positive
easy to use and user friendly,5,2025-03-31,CBE,0.9979179501533508,positive
well software,5,2025-03-31,CBE,0.999262273311615,positive
be very good apes,5,2025-03-31,CBE,0.9993164539337158,positive
this application fast secure and more convenient thanks be,5,2025-03-31,CBE,0.994228720664978,positive
it best,5,2025-03-31,CBE,0.9998315572738647,positive
why did you display cash transactions and bank statement in the mobile banking ape,4,2025-03-31,CBE,-0.9970455765724182,negative
our legitimate bank,4,2025-03-31,CBE,0.9954161643981934,positive
ever and never seen this kind of ape proud my be,5,2025-03-31,CBE,0.9926113486289978,positive
very good and safe for me,5,2025-03-31,CBE,0.9998682737350464,positive
very good but sometimes,4,2025-03-31,CBE,0.9997714161872864,positive
why not allowed to pay for fuel,4,2025-03-31,CBE,-0.9964317083358765,negative
really this ape is more simple to use at any time in every where also it transaction quality between the users within the transaction receipt as bank that means this ape is our bank on hand in mobile frankly proud on this bank digital have no word to wrote but it have weakness on poor connection,5,2025-03-31,CBE,-0.9957393407821655,negative
great version,5,2025-03-31,CBE,0.9998726844787598,positive
good and easy to use,5,2025-03-31,CBE,0.9998656511306763,positive
nice ape and fast money transfer,5,2025-03-31,CBE,0.9985960125923157,positive
really automated,5,2025-03-31,CBE,0.9948042035102844,positive
recently ape keeps closing and the notification after says this ape has bug can you make an update please,4,2025-03-31,CBE,-0.9958571791648865,negative
there is some issue the process it delay,3,2025-03-31,CBE,-0.9957571625709534,negative
what an amazing application in ethiopian banking industry which is very interested one,5,2025-03-31,CBE,0.999721348285675,positive
interesting,3,2025-03-30,CBE,0.9998446702957153,positive
it is very good ape,5,2025-03-30,CBE,0.9998636245727539,positive
it is very excellent anddynamic plus user friend all in one bank apes of the era loved it,5,2025-03-30,CBE,0.9998223185539246,positive
very god thanks,5,2025-03-30,CBE,0.9993305206298828,positive
the sum is good,3,2025-03-30,CBE,0.9998549222946167,positive
best of bests,5,2025-03-30,CBE,0.99969482421875,positive
am happy thank you be,5,2025-03-30,CBE,0.9998762607574463,positive
it very nice,5,2025-03-30,CBE,0.9998661279678345,positive
the history sometimes misses transactions transfer to be birr debited but not really transferred we need to really cop up with the world for real the hacks and security problems invest on and solve them,3,2025-03-30,CBE,-0.9983048439025879,negative
best apes for using,5,2025-03-30,CBE,0.9861518740653992,positive
good apes but fix the screenshot its not easy like before,5,2025-03-29,CBE,-0.8332458734512329,negative
am not exaggerating when say that this application is one of the biggest players in the banking industry it has simplified lot of things for the user even if the bank is in his pocket but my opinion is when we transfer money there is word limit on the note at the end why can we write our reason briefly don understand why it is limited on the other hand there is no limit on the bank could you explain this when we pay for water why is the code not mentioned,5,2025-03-29,CBE,-0.9903877377510071,negative
in this update why screenshoot is disabled now it not working,1,2025-03-28,CBE,-0.999247670173645,negative
really don't seen like this application fast safe and comfortable,5,2025-03-28,CBE,0.5650721788406372,positive
excellent but needed upgrading,5,2025-03-28,CBE,0.6298720240592957,positive
goods ape place update this apes,4,2025-03-28,CBE,-0.9307917356491089,negative
the latest update prevents taking screenshots which is really annoying please allow us to take screenshots we need it for evidence particularly in case of transfer failure,1,2025-03-27,CBE,-0.9970319271087646,negative
fantastic ape appreciate it very much,5,2025-03-27,CBE,0.9998699426651001,positive
does work properly it crashes some many times commercial bank of ethiopia not only the application but also sending money to own be birr does get your money in your bank account forcefully you must wait days to get your money back to your account walk up be the world is going to decentralized finance,1,2025-03-26,CBE,-0.9933047890663147,negative
it crashes multiple times overtime you launch it fix it edit crash fixed but screenshots has been disabled don know who thought this was good idea,1,2025-03-26,CBE,-0.9985424280166626,negative
why why remove screen shoot,2,2025-03-26,CBE,-0.9987626075744629,negative
fails mid transaction no screenshot download don work link shared not working bring back the old ape this is unless,1,2025-03-26,CBE,-0.999398946762085,negative
very nice one,5,2025-03-26,CBE,0.9998561143875122,positive
good application,5,2025-03-25,CBE,0.999854564666748,positive
problem solver and the best fast ape,5,2025-03-25,CBE,0.999526858329773,positive
please bring back the screenshot option the screenshot download option takes like second appear in gallery and most people don know about it,3,2025-03-25,CBE,-0.9928188920021057,negative
thank you,5,2025-03-25,CBE,0.9998352527618408,positive
be,5,2025-03-25,CBE,0.9619516730308533,positive
very nice and convenient ape,5,2025-03-24,CBE,0.9996771812438965,positive
there are to many bugs ape keeps crash no and the update file seems to keep getting worse,2,2025-03-24,CBE,-0.9997544884681702,negative
great experience so far but why this ape ain working while developer mode is on,4,2025-03-24,CBE,-0.9953858256340027,negative
why did the screen shot stopped,3,2025-03-24,CBE,-0.9992039799690247,negative
it very good application but sometimes it takes long time to synchronize,4,2025-03-23,CBE,-0.9601138830184937,negative
to getting money,5,2025-03-23,CBE,0.8595291376113892,positive
some times it is difficult to get receipts for the payment made,1,2025-03-23,CBE,-0.999690055847168,negative
this ape is best,1,2025-03-23,CBE,0.9980360865592957,positive
it very useful,5,2025-03-23,CBE,0.9997583031654358,positive
best ape and update more features,5,2025-03-23,CBE,0.9986957907676697,positive
best ape for this vast digital financial word,5,2025-03-23,CBE,-0.7685075998306274,negative
this ape is my favorite application,5,2025-03-23,CBE,0.9937659502029419,positive
hook love this application,5,2025-03-22,CBE,0.9994227886199951,positive
the ape protects me from screenshot after update please make revision on the ape,4,2025-03-22,CBE,0.9307488799095154,positive
screenshot or slip not working,2,2025-03-22,CBE,-0.9997146725654602,negative
thank you for help,5,2025-03-22,CBE,0.9998223185539246,positive
sad guys what are you doing why did you add the screenshot restriction to the ape you just made it worse it was great value to us you need to rethink it will change the star rating when you resolve the issue,1,2025-03-22,CBE,-0.9955812096595764,negative
this is helpful and have good and easy for mobile money usage in ethiopia,5,2025-03-22,CBE,0.9987768530845642,positive
thank you,5,2025-03-22,CBE,0.9998352527618408,positive
good ape,5,2025-03-22,CBE,0.9998431205749512,positive
old version was very friendly to use now we can see the reason the transaction history very limited and now it crash every time it opened more over the last update prevents us from taking screenshots thanks for the developers as they are getting more stupid than ever,1,2025-03-21,CBE,-0.9994162321090698,negative
since last week this ape has started not working it simply log in without network but can sync please fix it,5,2025-03-21,CBE,-0.9651430249214172,negative
what an absolutely terrible update no screenshots and you still have this stupid restriction on developer options what about those of us who are actually developers at this point telebirr just wins the game be do better,1,2025-03-21,CBE,-0.9706127643585205,negative
wow its my in,5,2025-03-21,CBE,0.9993413090705872,positive
in the lasted update you removed the capability to screenshot transactions,3,2025-03-21,CBE,-0.9980930685997009,negative
how do you disable screenshots on banking ape you are very unserious people,1,2025-03-21,CBE,-0.9959075450897217,negative
no screenshot and biometrics on this version work,3,2025-03-21,CBE,-0.9993516802787781,negative
not good too lame to use,1,2025-03-21,CBE,-0.9995977282524109,negative
be ape is great,5,2025-03-20,CBE,0.9996253252029419,positive
its good and saving time,5,2025-03-20,CBE,0.9998652935028076,positive
this new update mar is great in fixing bugs stability and smooth experience all give that but it came with big shortcoming which is not allowing to take screenshot can screenshot neither my balance nor the transaction or anything within the ape understand it for security reasons but please bring that back allow us to take screenshot we need that thanks,4,2025-03-20,CBE,-0.9963633418083191,negative
what went wrong could take screenshot,3,2025-03-20,CBE,-0.9994649291038513,negative
ape is crushing recently please update,4,2025-03-20,CBE,-0.9883118271827698,negative
it is good but why screenshot is forbidden,4,2025-03-20,CBE,-0.9100748896598816,negative
taking away the screenshot of the receipt is just silly worse is the download button putting copy of the screenshot which you prevented to be taken in the downloads folder where we cant attach directly from whatsapp millions of people use the screenshot as proof of payment transfer yet you make that harder for everyone have every user contacts the developer or manager who made this awful decision,1,2025-03-20,CBE,-0.9997765421867371,negative
very good ape,5,2025-03-20,CBE,0.9998608827590942,positive
new update version keeps crashing it needs maintenance,3,2025-03-19,CBE,-0.9989332556724548,negative
the update is unneeded,1,2025-03-19,CBE,-0.9976237416267395,negative
as if the update of march can take screenshot in the ape can just save it as file and that is so annoying used to save all screenshot in my gallery in one folder now with the extra steps added have to save the file go to file and then screenshot it the solution is to allow the screenshot to be save in to gallery automatically wish you give this review attention and resolve the issue shortly,2,2025-03-19,CBE,-0.9996671676635742,negative
it is good ape but when make inter bank transaction it can display the receiver account number and name of receiver and also receiver bank,4,2025-03-19,CBE,0.9447230696678162,positive
it was nice but now it dose not opened the transactions,5,2025-03-18,CBE,-0.9970568418502808,negative
the apes is good to use,5,2025-03-17,CBE,0.9996929168701172,positive
it best ape but please add included payment of water bill,4,2025-03-17,CBE,-0.6481329202651978,negative
the ape has bug and it keeps crashing please provide an update and fix the issue thank you,3,2025-03-17,CBE,-0.5718513131141663,negative
this is my favorite ape,5,2025-03-17,CBE,0.9953742623329163,positive
we can get mobile token on be ape or any other online this is need to improve internet banking is always say authenticate error after some weeks this is need to improve,4,2025-03-16,CBE,-0.9991660118103027,negative
excellent ape for account transaction specially for business customers and good method to pay bills and different personal payment,5,2025-03-15,CBE,0.9991046786308289,positive
the ape has brought new problem when open the ape it closes itself then have to open it again please fix this issue if it your problem,3,2025-03-14,CBE,-0.9983683228492737,negative
in my view can give any conclusion because it the starting of an online banking in my country however the commercial bank of ethiopia must rebuild this ape and also need to make more access to changing the system keep continuing ethiopia,5,2025-03-14,CBE,-0.9950358271598816,negative
very attractive and user friendly,5,2025-03-13,CBE,0.9998636245727539,positive
good apes,5,2025-03-13,CBE,0.9998342990875244,positive
my special ape and my proud bank of ethiopia,5,2025-03-13,CBE,0.9996837377548218,positive
the ape need update it always crash,1,2025-03-13,CBE,-0.9978671073913574,negative
it is very comfortable and simple to use but what standing order is not work,5,2025-03-13,CBE,-0.545561671257019,negative
one of the best apes have used,5,2025-03-13,CBE,0.9996438026428223,positive
am appreciate this ape,5,2025-03-13,CBE,0.9985113739967346,positive
very happy using this ape thanks to developers,5,2025-03-12,CBE,0.9998325109481812,positive
be birr ape is my best choice,5,2025-03-12,CBE,0.9897170066833496,positive
exceptional incredible,5,2025-03-12,CBE,0.9998780488967896,positive
joyful ape,5,2025-03-11,CBE,0.9998384714126587,positive
unsatisfied with the new update keeps crashing every now and then and even though haven reached the max ten per day still refuses to transfer probably going to change my bank if it not fixed asap,1,2025-03-10,CBE,-0.9987092018127441,negative
it is one of the disappointed bank you don suppose to include ethiopian on your name you don deserve it,1,2025-03-10,CBE,-0.999038815498352,negative
simple and easy to use,5,2025-03-10,CBE,0.9997318387031555,positive
it not good ape,5,2025-03-10,CBE,-0.9996116757392883,negative
have been using be ape for long but recently it has started crashing repeatedly and even my phone is reporting that the ape has bugs and tells me to wait the developer to fix these bugs,1,2025-03-09,CBE,-0.9994599223136902,negative
the great ape be,5,2025-03-09,CBE,0.6698609590530396,positive
why it asks me update repeatedly as soon as download it,1,2025-03-09,CBE,-0.9970335960388184,negative
commercial bank rate this,5,2025-03-08,CBE,0.6439584493637085,positive
it is good for many aspect if can get transactions report with time duration periodically,3,2025-03-07,CBE,0.9987300038337708,positive
best performing ape,5,2025-03-07,CBE,0.9996716976165771,positive
best back in ethiopia,5,2025-03-06,CBE,0.9994858503341675,positive
