review,rating,date,bank,source
the ape is recently crushing each time you open and try to make transfers it used to be good take lessons from the dashed super ape or ethiotelecom it is not befitting of your experience and glory in st in making it more friendly and convenient am considering leaving be for good,2,2025-05-06,Commercial Bank of Ethiopia,Google Play
good but these week not okay,4,2025-05-06,Commercial Bank of Ethiopia,Google Play
well designed fixing bugs two step verification with biometric simply it great,5,2025-05-06,Commercial Bank of Ethiopia,Google Play
if any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times,1,2025-05-05,Commercial Bank of Ethiopia,Google Play
it great job but one more thing it has been placed for transfer to other banks on face like mobile charge card place,5,2025-05-05,Commercial Bank of Ethiopia,Google Play
it very low quality application,1,2025-05-04,Commercial Bank of Ethiopia,Google Play
very amazing apes,5,2025-05-04,Commercial Bank of Ethiopia,Google Play
wow simple life,5,2025-05-04,Commercial Bank of Ethiopia,Google Play
it nice,5,2025-05-03,Commercial Bank of Ethiopia,Google Play
why stacked sometimes,5,2025-05-03,Commercial Bank of Ethiopia,Google Play
okay but sometimes busy,1,2025-05-03,Commercial Bank of Ethiopia,Google Play
the worst commercial company that fails to do even the most normal things again and and again,1,2025-05-03,Commercial Bank of Ethiopia,Google Play
very good ape but disappointed by general cessation of system,5,2025-05-02,Commercial Bank of Ethiopia,Google Play
good and fast,5,2025-05-02,Commercial Bank of Ethiopia,Google Play
best the best fast,5,2025-05-02,Commercial Bank of Ethiopia,Google Play
fast and reliable,5,2025-05-02,Commercial Bank of Ethiopia,Google Play
best ape but there is some problem can send money to telebirr or mesa so if you can add that it could be use full,4,2025-05-02,Commercial Bank of Ethiopia,Google Play
its good and simple to use,5,2025-05-02,Commercial Bank of Ethiopia,Google Play
worst ape like that bank for security and network access,1,2025-05-02,Commercial Bank of Ethiopia,Google Play
it the best ape,5,2025-05-02,Commercial Bank of Ethiopia,Google Play
its very nice,5,2025-05-02,Commercial Bank of Ethiopia,Google Play
it crashes frequently,4,2025-04-30,Commercial Bank of Ethiopia,Google Play
the best,5,2025-04-28,Commercial Bank of Ethiopia,Google Play
can simply describe this ape as making all your work easier,5,2025-04-28,Commercial Bank of Ethiopia,Google Play
best appearance,5,2025-04-27,Commercial Bank of Ethiopia,Google Play
it very good ape,5,2025-04-27,Commercial Bank of Ethiopia,Google Play
need support you,5,2025-04-27,Commercial Bank of Ethiopia,Google Play
the worst mobile banking have ever seen in my life,1,2025-04-26,Commercial Bank of Ethiopia,Google Play
the best,1,2025-04-26,Commercial Bank of Ethiopia,Google Play
to other bank is bad,1,2025-04-25,Commercial Bank of Ethiopia,Google Play
its good but add more features such like bank statement showing,5,2025-04-24,Commercial Bank of Ethiopia,Google Play
it is so nice,5,2025-04-24,Commercial Bank of Ethiopia,Google Play
my first frequent experience of be ape is critical time failure such as suspending payment on air for days with zero explanation deducting from sender account without depositing to the receiver act another fatal error by the banking company as whole not the ape itself though is forced banking with corporations without consent of employers users of the corresponding corporations,2,2025-04-21,Commercial Bank of Ethiopia,Google Play
great ape,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
well ape,5,2025-04-20,Commercial Bank of Ethiopia,Google Play
actually it is inactive,4,2025-04-19,Commercial Bank of Ethiopia,Google Play
slow only one account is used,2,2025-04-19,Commercial Bank of Ethiopia,Google Play
always be is the leading commercial bank,5,2025-04-18,Commercial Bank of Ethiopia,Google Play
why removing screenshot feature why,1,2025-04-18,Commercial Bank of Ethiopia,Google Play
nice apes where network is good in connection,5,2025-04-18,Commercial Bank of Ethiopia,Google Play
can take screenshot,1,2025-04-18,Commercial Bank of Ethiopia,Google Play
every update was made the system better and better until the march th update not allowing us to screenshot you guys did understand how much it really quick and significant thing you add extra steps to us which makes the process draw back,3,2025-04-18,Commercial Bank of Ethiopia,Google Play
perfectly special,5,2025-04-18,Commercial Bank of Ethiopia,Google Play
fast and reliable,5,2025-04-18,Commercial Bank of Ethiopia,Google Play
the best application have ever seen in ethiopia banking industry,5,2025-04-17,Commercial Bank of Ethiopia,Google Play
because sometimes it does working it load too much,3,2025-04-17,Commercial Bank of Ethiopia,Google Play
absolutely the best ape it works flawlessly anytime and anywhere,5,2025-04-17,Commercial Bank of Ethiopia,Google Play
very nice ape ever,5,2025-04-16,Commercial Bank of Ethiopia,Google Play
the best ape,5,2025-04-16,Commercial Bank of Ethiopia,Google Play
biometric security for mobile banking is not available,5,2025-04-16,Commercial Bank of Ethiopia,Google Play
great ape,5,2025-04-15,Commercial Bank of Ethiopia,Google Play
it special apes,5,2025-04-15,Commercial Bank of Ethiopia,Google Play
in the updated version of the ape it takes more time to download the receipt,3,2025-04-15,Commercial Bank of Ethiopia,Google Play
very interesting ape am using every day fantastic,5,2025-04-14,Commercial Bank of Ethiopia,Google Play
can scan recognize other banks interoperable or codes,1,2025-04-13,Commercial Bank of Ethiopia,Google Play
everything wellbeok,3,2025-04-13,Commercial Bank of Ethiopia,Google Play
this mobile banking ape is fast and user friendly but the only issue encountered is that can access my bank statement within the ape kindly request that this feature be added similar to what is offered by other private bank mobile banking apes,4,2025-04-13,Commercial Bank of Ethiopia,Google Play
why did this ape is not screenshot,5,2025-04-12,Commercial Bank of Ethiopia,Google Play
it so good ape,5,2025-04-12,Commercial Bank of Ethiopia,Google Play
less network specially to make fee for utility purpose,1,2025-04-11,Commercial Bank of Ethiopia,Google Play
simply for used,4,2025-04-11,Commercial Bank of Ethiopia,Google Play
its great ape but when updating we can take screen shot please try to fix it,3,2025-04-10,Commercial Bank of Ethiopia,Google Play
everything is easy thank you cube,5,2025-04-10,Commercial Bank of Ethiopia,Google Play
but this ape says can sync,5,2025-04-09,Commercial Bank of Ethiopia,Google Play
work on screen shot system,4,2025-04-08,Commercial Bank of Ethiopia,Google Play
very very nice application,1,2025-04-08,Commercial Bank of Ethiopia,Google Play
wonder full and it is easy to use,5,2025-04-08,Commercial Bank of Ethiopia,Google Play
easy and reliable,2,2025-04-08,Commercial Bank of Ethiopia,Google Play
it is very useful ape,5,2025-04-07,Commercial Bank of Ethiopia,Google Play
commercial bank,5,2025-04-06,Commercial Bank of Ethiopia,Google Play
it is good but it does allow screen shot,4,2025-04-06,Commercial Bank of Ethiopia,Google Play
the best one,5,2025-04-06,Commercial Bank of Ethiopia,Google Play
you need to copy many things from other bank apes like mole dashed,2,2025-04-06,Commercial Bank of Ethiopia,Google Play
bring back the screenshot feature,1,2025-04-05,Commercial Bank of Ethiopia,Google Play
best ape to experience him that to smooth transaction among the customers,1,2025-04-05,Commercial Bank of Ethiopia,Google Play
nice ape suitable to use it the only weak side is it need data connections and hoping will be fixed to offline gave rate,4,2025-04-05,Commercial Bank of Ethiopia,Google Play
easy to use,5,2025-04-05,Commercial Bank of Ethiopia,Google Play
good job to the be team on this mobile ape it designed in way that simple and intuitive to navigate which is great for everyone it effectively handles the essential banking tasks need to perform regularly it practical and reliable tool that makes everyday banking much more convenient thank you for this useful application,5,2025-04-04,Commercial Bank of Ethiopia,Google Play
before it was smooth and good this time after the new update in can not make screenshot of my recite even the download button is very delayed in putting my recite in my gallery for simple proof please fix this am unable to show proof of payment to my clients thankyou,3,2025-04-04,Commercial Bank of Ethiopia,Google Play
cool,4,2025-04-04,Commercial Bank of Ethiopia,Google Play
this ape is very necessary ape many people found it,5,2025-04-03,Commercial Bank of Ethiopia,Google Play
be very active bank using be ape very very satisfaction,5,2025-04-03,Commercial Bank of Ethiopia,Google Play
it made life lot easier cant even imagine having to make all those transactions in person so this ape was crucial for me very good ape well done,5,2025-04-03,Commercial Bank of Ethiopia,Google Play
thankyou,5,2025-04-02,Commercial Bank of Ethiopia,Google Play
don understand the reason why need to disable developer options to access the ape it has no security risks nor does it hinder the ape functionalities this goes out to the de hope your life is filled with inconveniences,1,2025-04-02,Commercial Bank of Ethiopia,Google Play
it great,5,2025-04-02,Commercial Bank of Ethiopia,Google Play
very good ape and stars faction with work,5,2025-04-02,Commercial Bank of Ethiopia,Google Play
it is excellent,5,2025-04-01,Commercial Bank of Ethiopia,Google Play
very interesting ape,5,2025-04-01,Commercial Bank of Ethiopia,Google Play
wow be keep it up,5,2025-04-01,Commercial Bank of Ethiopia,Google Play
the most useful,5,2025-04-01,Commercial Bank of Ethiopia,Google Play
am more satisfied in this ape more sure you have to secure,4,2025-04-01,Commercial Bank of Ethiopia,Google Play
easy to use,5,2025-04-01,Commercial Bank of Ethiopia,Google Play
very good but sometimes our be comes without my consent even if choose locked it appears,4,2025-04-01,Commercial Bank of Ethiopia,Google Play
lucky to have this thank you be,5,2025-04-01,Commercial Bank of Ethiopia,Google Play
it need more improvement like bellbird,4,2025-04-01,Commercial Bank of Ethiopia,Google Play
very nice ape,5,2025-04-01,Commercial Bank of Ethiopia,Google Play
safe easy fast,5,2025-04-01,Commercial Bank of Ethiopia,Google Play
it good ape,5,2025-04-01,Commercial Bank of Ethiopia,Google Play
it is very useful ape but screen shout was impossible solve this problem,5,2025-04-01,Commercial Bank of Ethiopia,Google Play
dear be this ape is not comparable with century and plus try to solve it,1,2025-04-01,Commercial Bank of Ethiopia,Google Play
best transaction method of financial,5,2025-04-01,Commercial Bank of Ethiopia,Google Play
be is now going to on the right pathway track thank you be one step ahead on payment platform ape,5,2025-04-01,Commercial Bank of Ethiopia,Google Play
it literarily don work at all,4,2025-04-01,Commercial Bank of Ethiopia,Google Play
good give us plus,5,2025-04-01,Commercial Bank of Ethiopia,Google Play
very good application however have one functionality recommendation what if you let the ape transfer money to any telebirr account as for mesa by the way am not the only one to ask this thank you,4,2025-04-01,Commercial Bank of Ethiopia,Google Play
before update it was able to screenshot while after update can able to screenshot the transfer details,4,2025-04-01,Commercial Bank of Ethiopia,Google Play
tic be,5,2025-04-01,Commercial Bank of Ethiopia,Google Play
it is good ape but you have integrate be with be birr to allow careless withdrawal directly from our account,4,2025-03-31,Commercial Bank of Ethiopia,Google Play
great apes,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
great ape,4,2025-03-31,Commercial Bank of Ethiopia,Google Play
be,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
great when it works,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
the ape is very good but why screenshots is impossible,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
the best ape,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
easy to use and user friendly,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
well software,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
be very good apes,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
this application fast secure and more convenient thanks be,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
it best,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
why did you display cash transactions and bank statement in the mobile banking ape,4,2025-03-31,Commercial Bank of Ethiopia,Google Play
our legitimate bank,4,2025-03-31,Commercial Bank of Ethiopia,Google Play
ever and never seen this kind of ape proud my be,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
very good and safe for me,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
very good but sometimes,4,2025-03-31,Commercial Bank of Ethiopia,Google Play
why not allowed to pay for fuel,4,2025-03-31,Commercial Bank of Ethiopia,Google Play
really this ape is more simple to use at any time in every where also it transaction quality between the users within the transaction receipt as bank that means this ape is our bank on hand in mobile frankly proud on this bank digital have no word to wrote but it have weakness on poor connection,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
great version,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
good and easy to use,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
nice ape and fast money transfer,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
really automated,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
recently ape keeps closing and the notification after says this ape has bug can you make an update please,4,2025-03-31,Commercial Bank of Ethiopia,Google Play
there is some issue the process it delay,3,2025-03-31,Commercial Bank of Ethiopia,Google Play
what an amazing application in ethiopian banking industry which is very interested one,5,2025-03-31,Commercial Bank of Ethiopia,Google Play
interesting,3,2025-03-30,Commercial Bank of Ethiopia,Google Play
it is very good ape,5,2025-03-30,Commercial Bank of Ethiopia,Google Play
it is very excellent anddynamic plus user friend all in one bank apes of the era loved it,5,2025-03-30,Commercial Bank of Ethiopia,Google Play
very god thanks,5,2025-03-30,Commercial Bank of Ethiopia,Google Play
the sum is good,3,2025-03-30,Commercial Bank of Ethiopia,Google Play
best of bests,5,2025-03-30,Commercial Bank of Ethiopia,Google Play
am happy thank you be,5,2025-03-30,Commercial Bank of Ethiopia,Google Play
it very nice,5,2025-03-30,Commercial Bank of Ethiopia,Google Play
the history sometimes misses transactions transfer to be birr debited but not really transferred we need to really cop up with the world for real the hacks and security problems invest on and solve them,3,2025-03-30,Commercial Bank of Ethiopia,Google Play
best apes for using,5,2025-03-30,Commercial Bank of Ethiopia,Google Play
good apes but fix the screenshot its not easy like before,5,2025-03-29,Commercial Bank of Ethiopia,Google Play
am not exaggerating when say that this application is one of the biggest players in the banking industry it has simplified lot of things for the user even if the bank is in his pocket but my opinion is when we transfer money there is word limit on the note at the end why can we write our reason briefly don understand why it is limited on the other hand there is no limit on the bank could you explain this when we pay for water why is the code not mentioned,5,2025-03-29,Commercial Bank of Ethiopia,Google Play
in this update why screenshoot is disabled now it not working,1,2025-03-28,Commercial Bank of Ethiopia,Google Play
really don't seen like this application fast safe and comfortable,5,2025-03-28,Commercial Bank of Ethiopia,Google Play
excellent but needed upgrading,5,2025-03-28,Commercial Bank of Ethiopia,Google Play
goods ape place update this apes,4,2025-03-28,Commercial Bank of Ethiopia,Google Play
the latest update prevents taking screenshots which is really annoying please allow us to take screenshots we need it for evidence particularly in case of transfer failure,1,2025-03-27,Commercial Bank of Ethiopia,Google Play
fantastic ape appreciate it very much,5,2025-03-27,Commercial Bank of Ethiopia,Google Play
does work properly it crashes some many times commercial bank of ethiopia not only the application but also sending money to own be birr does get your money in your bank account forcefully you must wait days to get your money back to your account walk up be the world is going to decentralized finance,1,2025-03-26,Commercial Bank of Ethiopia,Google Play
it crashes multiple times overtime you launch it fix it edit crash fixed but screenshots has been disabled don know who thought this was good idea,1,2025-03-26,Commercial Bank of Ethiopia,Google Play
why why remove screen shoot,2,2025-03-26,Commercial Bank of Ethiopia,Google Play
fails mid transaction no screenshot download don work link shared not working bring back the old ape this is unless,1,2025-03-26,Commercial Bank of Ethiopia,Google Play
very nice one,5,2025-03-26,Commercial Bank of Ethiopia,Google Play
good application,5,2025-03-25,Commercial Bank of Ethiopia,Google Play
problem solver and the best fast ape,5,2025-03-25,Commercial Bank of Ethiopia,Google Play
please bring back the screenshot option the screenshot download option takes like second appear in gallery and most people don know about it,3,2025-03-25,Commercial Bank of Ethiopia,Google Play
thank you,5,2025-03-25,Commercial Bank of Ethiopia,Google Play
be,5,2025-03-25,Commercial Bank of Ethiopia,Google Play
very nice and convenient ape,5,2025-03-24,Commercial Bank of Ethiopia,Google Play
there are to many bugs ape keeps crash no and the update file seems to keep getting worse,2,2025-03-24,Commercial Bank of Ethiopia,Google Play
great experience so far but why this ape ain working while developer mode is on,4,2025-03-24,Commercial Bank of Ethiopia,Google Play
why did the screen shot stopped,3,2025-03-24,Commercial Bank of Ethiopia,Google Play
it very good application but sometimes it takes long time to synchronize,4,2025-03-23,Commercial Bank of Ethiopia,Google Play
to getting money,5,2025-03-23,Commercial Bank of Ethiopia,Google Play
some times it is difficult to get receipts for the payment made,1,2025-03-23,Commercial Bank of Ethiopia,Google Play
this ape is best,1,2025-03-23,Commercial Bank of Ethiopia,Google Play
it very useful,5,2025-03-23,Commercial Bank of Ethiopia,Google Play
best ape and update more features,5,2025-03-23,Commercial Bank of Ethiopia,Google Play
best ape for this vast digital financial word,5,2025-03-23,Commercial Bank of Ethiopia,Google Play
this ape is my favorite application,5,2025-03-23,Commercial Bank of Ethiopia,Google Play
hook love this application,5,2025-03-22,Commercial Bank of Ethiopia,Google Play
the ape protects me from screenshot after update please make revision on the ape,4,2025-03-22,Commercial Bank of Ethiopia,Google Play
screenshot or slip not working,2,2025-03-22,Commercial Bank of Ethiopia,Google Play
thank you for help,5,2025-03-22,Commercial Bank of Ethiopia,Google Play
sad guys what are you doing why did you add the screenshot restriction to the ape you just made it worse it was great value to us you need to rethink it will change the star rating when you resolve the issue,1,2025-03-22,Commercial Bank of Ethiopia,Google Play
this is helpful and have good and easy for mobile money usage in ethiopia,5,2025-03-22,Commercial Bank of Ethiopia,Google Play
thank you,5,2025-03-22,Commercial Bank of Ethiopia,Google Play
good ape,5,2025-03-22,Commercial Bank of Ethiopia,Google Play
old version was very friendly to use now we can see the reason the transaction history very limited and now it crash every time it opened more over the last update prevents us from taking screenshots thanks for the developers as they are getting more stupid than ever,1,2025-03-21,Commercial Bank of Ethiopia,Google Play
since last week this ape has started not working it simply log in without network but can sync please fix it,5,2025-03-21,Commercial Bank of Ethiopia,Google Play
what an absolutely terrible update no screenshots and you still have this stupid restriction on developer options what about those of us who are actually developers at this point telebirr just wins the game be do better,1,2025-03-21,Commercial Bank of Ethiopia,Google Play
wow its my in,5,2025-03-21,Commercial Bank of Ethiopia,Google Play
in the lasted update you removed the capability to screenshot transactions,3,2025-03-21,Commercial Bank of Ethiopia,Google Play
how do you disable screenshots on banking ape you are very unserious people,1,2025-03-21,Commercial Bank of Ethiopia,Google Play
no screenshot and biometrics on this version work,3,2025-03-21,Commercial Bank of Ethiopia,Google Play
not good too lame to use,1,2025-03-21,Commercial Bank of Ethiopia,Google Play
be ape is great,5,2025-03-20,Commercial Bank of Ethiopia,Google Play
its good and saving time,5,2025-03-20,Commercial Bank of Ethiopia,Google Play
this new update mar is great in fixing bugs stability and smooth experience all give that but it came with big shortcoming which is not allowing to take screenshot can screenshot neither my balance nor the transaction or anything within the ape understand it for security reasons but please bring that back allow us to take screenshot we need that thanks,4,2025-03-20,Commercial Bank of Ethiopia,Google Play
what went wrong could take screenshot,3,2025-03-20,Commercial Bank of Ethiopia,Google Play
ape is crushing recently please update,4,2025-03-20,Commercial Bank of Ethiopia,Google Play
it is good but why screenshot is forbidden,4,2025-03-20,Commercial Bank of Ethiopia,Google Play
taking away the screenshot of the receipt is just silly worse is the download button putting copy of the screenshot which you prevented to be taken in the downloads folder where we cant attach directly from whatsapp millions of people use the screenshot as proof of payment transfer yet you make that harder for everyone have every user contacts the developer or manager who made this awful decision,1,2025-03-20,Commercial Bank of Ethiopia,Google Play
very good ape,5,2025-03-20,Commercial Bank of Ethiopia,Google Play
new update version keeps crashing it needs maintenance,3,2025-03-19,Commercial Bank of Ethiopia,Google Play
the update is unneeded,1,2025-03-19,Commercial Bank of Ethiopia,Google Play
as if the update of march can take screenshot in the ape can just save it as file and that is so annoying used to save all screenshot in my gallery in one folder now with the extra steps added have to save the file go to file and then screenshot it the solution is to allow the screenshot to be save in to gallery automatically wish you give this review attention and resolve the issue shortly,2,2025-03-19,Commercial Bank of Ethiopia,Google Play
it is good ape but when make inter bank transaction it can display the receiver account number and name of receiver and also receiver bank,4,2025-03-19,Commercial Bank of Ethiopia,Google Play
it was nice but now it dose not opened the transactions,5,2025-03-18,Commercial Bank of Ethiopia,Google Play
the apes is good to use,5,2025-03-17,Commercial Bank of Ethiopia,Google Play
it best ape but please add included payment of water bill,4,2025-03-17,Commercial Bank of Ethiopia,Google Play
the ape has bug and it keeps crashing please provide an update and fix the issue thank you,3,2025-03-17,Commercial Bank of Ethiopia,Google Play
this is my favorite ape,5,2025-03-17,Commercial Bank of Ethiopia,Google Play
we can get mobile token on be ape or any other online this is need to improve internet banking is always say authenticate error after some weeks this is need to improve,4,2025-03-16,Commercial Bank of Ethiopia,Google Play
excellent ape for account transaction specially for business customers and good method to pay bills and different personal payment,5,2025-03-15,Commercial Bank of Ethiopia,Google Play
the ape has brought new problem when open the ape it closes itself then have to open it again please fix this issue if it your problem,3,2025-03-14,Commercial Bank of Ethiopia,Google Play
