review,rating,date,bank,source
it nice apes,1,2024-06-04,Bank of Abyssinia,Google Play
wow what disgrace for boa the ape barely works too slow and always returns error,1,2024-06-03,Bank of Abyssinia,Google Play
excited by your service,5,2024-06-02,Bank of Abyssinia,Google Play
the worst mobile banking ape it does load seems like with the perfect wife and data connection it still manages to have network issues when you finally get into the ape it makes it so hard more than it should be to send money,1,2024-05-31,Bank of Abyssinia,Google Play
it is good to save time,3,2024-05-31,Bank of Abyssinia,Google Play
sorry but what kind of stupid developer thinks the ape will be faster if we disable developer mode we never seen such degeneracy in my entire life please get rid of this feature,1,2024-05-30,Bank of Abyssinia,Google Play
what is the purpose or point of not allowing to take screenshot of the recipe after transferring,1,2024-05-29,Bank of Abyssinia,Google Play
can use the ape unless turn off developer mode what kind of stupid rule is that the worst experience for banking ape,1,2024-05-26,Bank of Abyssinia,Google Play
sorry to say this compared to other banks mobile ape its the worst it need more improvement the ape does match the bank standard it need more update its too slow plus it keep saying stop developing option on your phone when no developing setting enabled plus when it come to recent transaction nothing to display,1,2024-05-24,Bank of Abyssinia,Google Play
very very nice,5,2024-05-23,Bank of Abyssinia,Google Play
cool,4,2024-05-22,Bank of Abyssinia,Google Play
what is that disable developer option have never seen any ape commands,3,2024-05-22,Bank of Abyssinia,Google Play
please fix the ape does belongs to abyssinia bank name,1,2024-05-22,Bank of Abyssinia,Google Play
playstore need to have some option to give stars because this application right here deserve exactly that imagine being one of the biggest banks in the country and can manage to have good mobile application in the era of mobile money you guys are in the brink of collapse you better make it right real quick or you gonna be meters down to the grave don use this ape it waste of time,1,2024-05-21,Bank of Abyssinia,Google Play
it good when we downloaded at first but now it does work well,2,2024-05-20,Bank of Abyssinia,Google Play
it just terrible it kept crashing in middle of transaction hell sometimes it won open my phone is stock android pixel and don even know how this happens fix it,1,2024-05-20,Bank of Abyssinia,Google Play
good but not working top up,5,2024-05-20,Bank of Abyssinia,Google Play
it is good,5,2024-05-19,Bank of Abyssinia,Google Play
great ape,3,2024-05-18,Bank of Abyssinia,Google Play
this ape is the most worst ape used in ethiopia and believe me know live in ethiopia being the finial ape it does work when you want it it makes you wait for cash out code and immediately debit the amount before sending the code have got to say abyssinia bank did expect this from you and use be mobile banking,1,2024-05-18,Bank of Abyssinia,Google Play
poor mobile banking always not working always,1,2024-05-18,Bank of Abyssinia,Google Play
absolutely the worst mobile banking ape it crash every time problem when logging in and and cuts my balance when top up without even recharging,1,2024-05-17,Bank of Abyssinia,Google Play
fails occasionally,4,2024-05-17,Bank of Abyssinia,Google Play
worst ape ever,1,2024-05-16,Bank of Abyssinia,Google Play
easy and cool ape,5,2024-05-16,Bank of Abyssinia,Google Play
ape is so bad network,1,2024-05-16,Bank of Abyssinia,Google Play
it not working for days come on as big bank in ethiopia this is unprofessionallism from boa,1,2024-05-15,Bank of Abyssinia,Google Play
be careful of using this ape to transfer large sums of money recently can top up my mobile card can pay tickets can transfer money to telebirr the works but what the use of an ape if we re using used it will refund your mobile top up days after failing to top up but would want to risk that big fan of boa but would recommend this ape,1,2024-05-15,Bank of Abyssinia,Google Play
the worst mobile banking ape does even work for week properly,1,2024-05-15,Bank of Abyssinia,Google Play
secretary,5,2024-05-14,Bank of Abyssinia,Google Play
can update my mobile banking,1,2024-05-14,Bank of Abyssinia,Google Play
hate how we re expected to disable developer options overtime we open the ape an unnecessary point of friction that been put in place in the guise of security,2,2024-05-14,Bank of Abyssinia,Google Play
build new ape,1,2024-05-13,Bank of Abyssinia,Google Play
exceptional service,5,2024-05-13,Bank of Abyssinia,Google Play
don get why this ape is developed it is not functional at all,1,2024-05-12,Bank of Abyssinia,Google Play
this ape is trash,1,2024-05-12,Bank of Abyssinia,Google Play
it improved now,3,2024-05-12,Bank of Abyssinia,Google Play
it is really make my life so much easy,5,2024-05-12,Bank of Abyssinia,Google Play
good happy,1,2024-05-11,Bank of Abyssinia,Google Play
my advice for whoever reading is go look for other bank awash bank is great example this bank won even allow you to access your money when you want it has bad servers which don work respond on time,1,2024-05-11,Bank of Abyssinia,Google Play
preventing login because have developer options on is not security moved all my money somewhere else because just did wanna deal with it,1,2024-05-11,Bank of Abyssinia,Google Play
the ape has bugs signing in is still challenge transfer to another bank is impossible the ape is slow and bland,3,2024-05-11,Bank of Abyssinia,Google Play
why do force me to turn off developers option just to use your ape its not fair and am not using ur ape anymore,1,2024-05-10,Bank of Abyssinia,Google Play
very poor ape it crashes every time does load properly and you can even buy airtime the programming is subpar please take lessons from other online banking apes would give it zero if could,1,2024-05-10,Bank of Abyssinia,Google Play
this ape is very simple for using,4,2024-05-10,Bank of Abyssinia,Google Play
very baggy in able to make transactions fix it,1,2024-05-10,Bank of Abyssinia,Google Play
after recent update the ape keeps asking to disable developers options and won let you use it unless you do,2,2024-05-10,Bank of Abyssinia,Google Play
great i up design,5,2024-05-09,Bank of Abyssinia,Google Play
ape is any updates why,5,2024-05-09,Bank of Abyssinia,Google Play
am an ape developer need to keep developer options on why are you asking me to turn developer options off why is it that abyssinia is the only damned bank in ethiopia that just can seem to build an ape that works it not that hard people just look at be this is simply terrible borderline unusable,1,2024-05-09,Bank of Abyssinia,Google Play
ugh they are super calculative when it cm mobile banking or any online stuff if ur digital better chose other bank,1,2024-05-09,Bank of Abyssinia,Google Play
slow every time,2,2024-05-08,Bank of Abyssinia,Google Play
it takes very long time to log in please fix,1,2024-05-08,Bank of Abyssinia,Google Play
it not functional at all,1,2024-05-08,Bank of Abyssinia,Google Play
what wrong with ape this days it does working properly it very slow does open it very annoying most of the time it says repeatedly please try it again or try it later but again and again it does open or work repeatedly it says something went wrong then it off the screen we updated the ape when it needed but nothing changed please if it has some issues with the ape please fix it otherwise going to uninstall it,2,2024-05-08,Bank of Abyssinia,Google Play
disgrace ape,1,2024-05-08,Bank of Abyssinia,Google Play
it crash repeatedly try to make it more stable for customers need meet,2,2024-05-07,Bank of Abyssinia,Google Play
after two weeks it require update why,5,2024-05-07,Bank of Abyssinia,Google Play
it keeps crashing and has been fixed,1,2024-05-07,Bank of Abyssinia,Google Play
the application is full of bug so annoying,1,2024-05-07,Bank of Abyssinia,Google Play
why is the ape asking me to remove developer options why does it matter what do with my phone this is unacceptable fix this,3,2024-05-06,Bank of Abyssinia,Google Play
worst application relative to other ethiopia mobile banking ape,1,2024-05-06,Bank of Abyssinia,Google Play
am extremely disappointed with the poor service have received it is unacceptable that cannot make transactions of birr and sometimes my money gets stuck in the air as result of your incompetence have been forced to change my bank account this level of service is completely unacceptable and needs to be rectified immediately,1,2024-05-06,Bank of Abyssinia,Google Play
great ape,5,2024-05-05,Bank of Abyssinia,Google Play
does work properly keeps closing won activate any account would recommend downloading,1,2024-05-05,Bank of Abyssinia,Google Play
plus improve your mobile banking ape it does work constantly after updated the new version of your ape try to improve,1,2024-05-05,Bank of Abyssinia,Google Play
the version is not opening on any of my devices noticed this issue on my friend android phone and also on my samsung android phone even after weekly updates the newest version is not working properly please provide stable version update as prefer the older version of the ape from the new one,1,2024-05-04,Bank of Abyssinia,Google Play
it good ape,5,2024-05-04,Bank of Abyssinia,Google Play
good service,5,2024-05-04,Bank of Abyssinia,Google Play
this ape is not working,1,2024-05-04,Bank of Abyssinia,Google Play
this ape not work why pleas tell me,2,2024-05-04,Bank of Abyssinia,Google Play
am comfortable with your good service,5,2024-05-04,Bank of Abyssinia,Google Play
best ape from any mobilebanking,5,2024-05-04,Bank of Abyssinia,Google Play
it crushes repeatedly,1,2024-05-03,Bank of Abyssinia,Google Play
very bad ape as always bothering any transaction processes,1,2024-05-03,Bank of Abyssinia,Google Play
actually faster,4,2024-05-03,Bank of Abyssinia,Google Play
prefer the earlier version this updated ape crushes during login and says there is bug please fix the bug issue,4,2024-05-03,Bank of Abyssinia,Google Play
so many bugs on this ape haven been able to use it since installed it very bad,1,2024-05-03,Bank of Abyssinia,Google Play
this application in working properly,1,2024-05-03,Bank of Abyssinia,Google Play
this is too poorer than the previous ape,1,2024-05-03,Bank of Abyssinia,Google Play
cool ape taxes,5,2024-05-03,Bank of Abyssinia,Google Play
the ape keeps crashing again and again did even get to sign in worst update,1,2024-05-03,Bank of Abyssinia,Google Play
developers the company takes too long to update the ape and throughout that process the ape is basically useless we can send money or even be able to check our account they even take it down from the play store for while this whole process usually takes them to days this is very disappointing it is an improvement from the previous version of the ape but they still have long way to go to compete with the likes of be transferring to other banks sometimes does work,2,2024-05-03,Bank of Abyssinia,Google Play
was working ok but it started not displaying banks list to choose from and it needs updating every couple of days annoying,3,2024-05-03,Bank of Abyssinia,Google Play
dear boa are you sure you are upgrading your application it is becoming worse and worse please fix the bug as quickly as possible,1,2024-05-03,Bank of Abyssinia,Google Play
nice one thanks abisiniya,5,2024-05-03,Bank of Abyssinia,Google Play
it doesn't work it crashes,1,2024-05-03,Bank of Abyssinia,Google Play
it keeps clashing down what crass stupid ape is this you forced me to update after transferred money and now can open it,1,2024-05-03,Bank of Abyssinia,Google Play
crash glitch crash blame connection crash crash again please fix it,1,2024-05-02,Bank of Abyssinia,Google Play
so unreliable had to send money asap but this ape either lags or does work such lazy work look at how efficient tell birr is and its not even bank,1,2024-05-02,Bank of Abyssinia,Google Play
great ape than others,5,2024-05-02,Bank of Abyssinia,Google Play
om this is like the worst mobile banking ape ever have many different mobile banking ape from different banks but this is the worst so far it says it has connection issue when have wife or data connection and while using other social media apes it keeps asking me for update once like every week and takes forever to load like have to wait at least minutes to login and another min to see my balance,1,2024-05-02,Bank of Abyssinia,Google Play
think remember it worked once upon time,2,2024-05-02,Bank of Abyssinia,Google Play
this ape is going to the worst boa ape ever it crushes every time login,1,2024-05-02,Bank of Abyssinia,Google Play
the ape never worked properly specially on android do better,1,2024-05-02,Bank of Abyssinia,Google Play
fix the bug,1,2024-05-02,Bank of Abyssinia,Google Play
all the time updated but i not satisfy by boa mobile backing,1,2024-05-02,Bank of Abyssinia,Google Play
it always crashes,1,2024-05-02,Bank of Abyssinia,Google Play
worst ape ever barely works,1,2024-05-02,Bank of Abyssinia,Google Play
it keep making me out and crash when open the ape and not working properly,1,2024-05-02,Bank of Abyssinia,Google Play
after last update the ape keeps crashing not working plus fix it mobile transactions become impossible,1,2024-05-02,Bank of Abyssinia,Google Play
very bad ape,2,2024-05-02,Bank of Abyssinia,Google Play
don know why every time you come up with new update the ape get worst than the oldest it is taking more time to load can load money to telebirr can pay awash please try to fix it,1,2024-05-02,Bank of Abyssinia,Google Play
the worst mobile banking ape,1,2024-05-02,Bank of Abyssinia,Google Play
it was working good before the last update but after the update it asks to disable developer option why is that that means any developer with developer option enabled can access his account it crush lot of times,2,2024-05-01,Bank of Abyssinia,Google Play
from ethiopian internet banking abbisiniya internet banking application is the most worst boring and slower ape please fix that,1,2024-05-01,Bank of Abyssinia,Google Play
good ape and user friendly,4,2024-05-01,Bank of Abyssinia,Google Play
every time needs update after that it not working it too boring,1,2024-05-01,Bank of Abyssinia,Google Play
what mean disable developer option,5,2024-05-01,Bank of Abyssinia,Google Play
slow login crashes frequently annoying ape ever since you updated this ape it been extremely unhelpful,1,2024-05-01,Bank of Abyssinia,Google Play
why do we need to turn off developer options in order to use your ape on the new update are we suppose to not use our device for other purposes just so we can use your ape it is not security it is is fix that and will update my rating,1,2024-05-01,Bank of Abyssinia,Google Play
annoying it does work totally,1,2024-05-01,Bank of Abyssinia,Google Play
the worst application ever,1,2024-05-01,Bank of Abyssinia,Google Play
the best beautiful ape,5,2024-05-01,Bank of Abyssinia,Google Play
keeps crashing overtime what disaster,1,2024-05-01,Bank of Abyssinia,Google Play
it does work anymore,1,2024-05-01,Bank of Abyssinia,Google Play
the ape is terrible nothing functions properly especially since the latest update it crashes all the time,1,2024-05-01,Bank of Abyssinia,Google Play
it good ape but the system is not same as be banking mobile when compare to these apes boa and be be is the best up,1,2024-05-01,Bank of Abyssinia,Google Play
please focus on the functionality of the ape instead of spending money on the advertisements,1,2024-05-01,Bank of Abyssinia,Google Play
frequently crashing fix it please,1,2024-05-01,Bank of Abyssinia,Google Play
of the time it crashes,1,2024-05-01,Bank of Abyssinia,Google Play
the worst update ever you don deserve one star,1,2024-05-01,Bank of Abyssinia,Google Play
no feature works correctly its always buffering and needs probably high data so its useless,2,2024-04-30,Bank of Abyssinia,Google Play
this ape is trash it not working for the past days we to go to the bank to send money to other banks plus the ape keeps crashing since the last update boa as bank is deteriorating this has to change,1,2024-04-30,Bank of Abyssinia,Google Play
ape needs lot of work it continuously crashes and shuts down,1,2024-04-30,Bank of Abyssinia,Google Play
not comfortable with this version its hard to down it load developer option is not allowed to use it as usual,5,2024-04-30,Bank of Abyssinia,Google Play
this ape is so annoying as the previous version,3,2024-04-30,Bank of Abyssinia,Google Play
need many improvements,2,2024-04-30,Bank of Abyssinia,Google Play
great always great,5,2024-04-30,Bank of Abyssinia,Google Play
pic new,5,2024-04-30,Bank of Abyssinia,Google Play
such junk application its not working at all waste of time,1,2024-04-30,Bank of Abyssinia,Google Play
hello is this new update cut it keeps kicking me out can make transaction fr,3,2024-04-30,Bank of Abyssinia,Google Play
you guys keep on releasing unstable ape now it won login,2,2024-04-30,Bank of Abyssinia,Google Play
never ever seen the worst commercial ape like this in my life it does not work anything don't know how the it team of the bank tested and launch the ape its annoying,1,2024-04-30,Bank of Abyssinia,Google Play
the best bank with the worst application and used service,1,2024-04-30,Bank of Abyssinia,Google Play
the old version is best this one is so lagging and it not fast to quick transfer,1,2024-04-30,Bank of Abyssinia,Google Play
the latest update has bug it keeps crashing please fix it it so inconvenient to do our business this way that or we will switch to other banks,3,2024-04-30,Bank of Abyssinia,Google Play
amazing bank in ethiopia,5,2024-04-30,Bank of Abyssinia,Google Play
it does function properly you don even deserve one star please stop playing your dirty game on your customer,1,2024-04-29,Bank of Abyssinia,Google Play
that fantastic ape,2,2024-04-29,Bank of Abyssinia,Google Play
the best bank,5,2024-04-29,Bank of Abyssinia,Google Play
this ape has been found useless while compared with the first version of i that was very good you guys what is the matter with you you are far from the technology and the competitor digital product through convenience reliable baseness dashed be semen they are doing well share their experience and be able to satisfy your esteemed customers including me unless you will be down soon,1,2024-04-29,Bank of Abyssinia,Google Play
this new update really sucks can even get the chance to put my pin bugs and everything please fix it developer,1,2024-04-29,Bank of Abyssinia,Google Play
have never seen the worst mobile ape like this,5,2024-04-29,Bank of Abyssinia,Google Play
very very good ape,5,2024-04-29,Bank of Abyssinia,Google Play
it keeps crashing,1,2024-04-29,Bank of Abyssinia,Google Play
excited,5,2024-04-29,Bank of Abyssinia,Google Play
this ape in working well on techno phone what is the error,1,2024-04-29,Bank of Abyssinia,Google Play
with every update the ape keeps on getting worse it is filled with bugs,1,2024-04-29,Bank of Abyssinia,Google Play
not working properly why,1,2024-04-29,Bank of Abyssinia,Google Play
the update ape is the worst one when compare with past,1,2024-04-28,Bank of Abyssinia,Google Play
it nice the stack thing needs update thou,5,2024-04-28,Bank of Abyssinia,Google Play
this application is relatively good even if some times interpreted but polo is difficult application please improve it,5,2024-04-28,Bank of Abyssinia,Google Play
the ape is not properly working,3,2024-04-28,Bank of Abyssinia,Google Play
it is always crushing it loved me out all the time,1,2024-04-28,Bank of Abyssinia,Google Play
love boa but the mobile ape in as good as the older version when the ape gets update it gets worse and worse it does even work fix the issue with that,2,2024-04-28,Bank of Abyssinia,Google Play
why why why it is difficult to make transactions it takes lot of time to make payments thought the update will make it work but it got worse please fix it,1,2024-04-28,Bank of Abyssinia,Google Play
the worst ape have ever used could we given star if it worked properly even just for logging in and check my accounts seemed that impossible,1,2024-04-28,Bank of Abyssinia,Google Play
very helpful ape,5,2024-04-27,Bank of Abyssinia,Google Play
very slow response try to some updates in the application,1,2024-04-27,Bank of Abyssinia,Google Play
useless ape bank to bank transactions do not work at all wallet tops like telebirr take hours to reach what shame from bank this big,1,2024-04-26,Bank of Abyssinia,Google Play
really work very good ape like you boa,5,2024-04-26,Bank of Abyssinia,Google Play
the worst ape have ever seen,1,2024-04-25,Bank of Abyssinia,Google Play
tried it with different phones it only worked for about week and then it stopped working it needs some serious work,1,2024-04-25,Bank of Abyssinia,Google Play
the only defect is that it is too slow,3,2024-04-25,Bank of Abyssinia,Google Play
sorry to say it is very poor apes have decided to suspend the boa account,1,2024-04-25,Bank of Abyssinia,Google Play
boa is the best ape but please clear instant or not instant option of send money be for asked,5,2024-04-24,Bank of Abyssinia,Google Play
installed the latest version of this ape on my android device but it is not working have already received the activation key from your branch via sums but could activate it it is failed ape bet you don have a testers,1,2024-04-24,Bank of Abyssinia,Google Play
this is not functional at all it takes forever to make transaction please improve it,1,2024-04-24,Bank of Abyssinia,Google Play
nice ape,5,2024-04-24,Bank of Abyssinia,Google Play
can update the enable button not open,1,2024-04-24,Bank of Abyssinia,Google Play
the best,5,2024-04-24,Bank of Abyssinia,Google Play
the bank always love and work with them is priceless,5,2024-04-24,Bank of Abyssinia,Google Play
it the best,5,2024-04-24,Bank of Abyssinia,Google Play
boa ape was one of my favorite back in the days now don if there is an ape worsen that this very very bad you need to fix it or remove it,1,2024-04-24,Bank of Abyssinia,Google Play
this ape is very wonderful,5,2024-04-24,Bank of Abyssinia,Google Play
it is not working at all,1,2024-04-24,Bank of Abyssinia,Google Play
to slow,1,2024-04-23,Bank of Abyssinia,Google Play
we never seen very worst mobile banking system like this lost birr because of your delay transaction system called and they told me stay for confirmation but after changed my mind and waiting for confirmation call to cancel the process they sent it with out my approval so please don use the mobile banking system please,1,2024-04-23,Bank of Abyssinia,Google Play
in ethiopia pest bank,5,2024-04-23,Bank of Abyssinia,Google Play
only problem is often it has connectivity issues,5,2024-04-23,Bank of Abyssinia,Google Play
not bad but please make it lite plus,1,2024-04-23,Bank of Abyssinia,Google Play
it says something is wrong with your internet banking user go to your nearest branch it has been working since april,1,2024-04-22,Bank of Abyssinia,Google Play
like this bank by his activity and respect customers look like my house,5,2024-04-22,Bank of Abyssinia,Google Play
bank of abyssinia,5,2024-04-22,Bank of Abyssinia,Google Play
very fast also nice ape love it,5,2024-04-22,Bank of Abyssinia,Google Play
by far the nicest looking ape by an ethiopian bank but it functionality is weak it is full of transaction error function error kudos but it needs more backed work,2,2024-04-22,Bank of Abyssinia,Google Play
not reliable always with some issues,1,2024-04-22,Bank of Abyssinia,Google Play
right one,1,2024-04-22,Bank of Abyssinia,Google Play
so boa your last application was horrible and buggy and we thought finally functional new ape with better i but it did last long non existent connection error at login please just fix your ape to the simplest functional form and it would be up to your other service standards,1,2024-04-21,Bank of Abyssinia,Google Play
it has good background and simple but keeps saying no connectivity login close immediately you made it poorly not working on stable network,1,2024-04-21,Bank of Abyssinia,Google Play
it was working fine couple of days ago in the utilities section of payment it only provides few services but that is ok for now but my issue is it has started crashing down these past days,2,2024-04-21,Bank of Abyssinia,Google Play
this ape is awesome like the features,5,2024-04-21,Bank of Abyssinia,Google Play
the ape is total waste of time it glitches does log in fast super slow,1,2024-04-21,Bank of Abyssinia,Google Play
very very bad ape,1,2024-04-21,Bank of Abyssinia,Google Play
not work this ape what is the problem,1,2024-04-20,Bank of Abyssinia,Google Play
the new updated ape exception handling for connection fluctuations is so exhausting which lead users to login repeated times,1,2024-04-20,Bank of Abyssinia,Google Play
some problem this ape,1,2024-04-20,Bank of Abyssinia,Google Play
it keeps on crashing,1,2024-04-20,Bank of Abyssinia,Google Play
poor performance,1,2024-04-20,Bank of Abyssinia,Google Play
hey no working,5,2024-04-19,Bank of Abyssinia,Google Play
it good ape tax for new update it very easy to using this ape they add some future tax abyssinia bank,5,2024-04-18,Bank of Abyssinia,Google Play
lot of the ape features have been rearranged but sometimes it works sometimes it doesn't and that makes it less reliable specially at times of need plus improve it,2,2024-04-18,Bank of Abyssinia,Google Play
now am confused upgrade or downgrade,1,2024-04-17,Bank of Abyssinia,Google Play
vary good ape,5,2024-04-15,Bank of Abyssinia,Google Play
can you please just make it functional don think anyone cares how good it looks if not single functionality works plus it not even aesthetically nice the loading animated icon has white irregular edges because the logo was cut out correctly the ape does work at all it does even login it gets stuck on login just showing the logo animation and blames the issue on connectivity connectivity is fine and the proof is that this review is posted,1,2024-04-15,Bank of Abyssinia,Google Play
the ape is not showing my balance or any transaction it is like corrupted showing us amounts,1,2024-04-13,Bank of Abyssinia,Google Play
its good,5,2024-04-13,Bank of Abyssinia,Google Play
it so slow ape please fix it,2,2024-04-13,Bank of Abyssinia,Google Play
it crash always,4,2024-04-13,Bank of Abyssinia,Google Play
the most terrible model banking ape in the world it is not working ones in week,1,2024-04-13,Bank of Abyssinia,Google Play
ultimately the worst mobile banking experience ever left me feeling exasperated and disillusioned its nightmare,1,2024-04-13,Bank of Abyssinia,Google Play
the updated version of this ape is just time wasting it does work with network require log in frequently not fast as much as possible automatic log out are the bad features of this ape,1,2024-04-13,Bank of Abyssinia,Google Play
abyssinia bank one of the best for giving the future,5,2024-04-12,Bank of Abyssinia,Google Play
this the best mobile banking ape boa mobile banking included all digital banking features and we can access the most companies and sectors with this ape thanks for giving this services keep going,5,2024-04-12,Bank of Abyssinia,Google Play
this has to be your worst ape ever damn so many bugs and it lags so baddy please fix it,1,2024-04-12,Bank of Abyssinia,Google Play
simplify your life by using the abyssinia ape like it because it is comfortable and safe,5,2024-04-11,Bank of Abyssinia,Google Play
general when considered from other banks this bank is unique,4,2024-04-11,Bank of Abyssinia,Google Play
boa the best,5,2024-04-09,Bank of Abyssinia,Google Play
wow its so attractive,5,2024-04-09,Bank of Abyssinia,Google Play
yet another useless ape,1,2024-04-09,Bank of Abyssinia,Google Play
it good,4,2024-04-09,Bank of Abyssinia,Google Play
great apes,5,2024-04-07,Bank of Abyssinia,Google Play
it closes playing audio ape when it is opened what is the solution,5,2024-04-06,Bank of Abyssinia,Google Play
top should be inserted manually not working on my phone,2,2024-04-02,Bank of Abyssinia,Google Play
my device is not auto inserting the top so keyboard should be enabled on the apes top login to insert top manually,3,2024-04-02,Bank of Abyssinia,Google Play
what wrong with ape suddenly stopped to open,1,2024-03-25,Bank of Abyssinia,Google Play
just use other banks if you want good mobile ape be is faster and safe than this ape,1,2024-03-23,Bank of Abyssinia,Google Play
worst ape ever previous version was way better than this version after activated my mobile banking ape it says account not found but their system my i customer does work fine please fix your bugs and test it before you release it have visit and report many branches and head quarter but they can fix the problem,1,2024-03-23,Bank of Abyssinia,Google Play
wow thanks boa,5,2024-03-22,Bank of Abyssinia,Google Play
the ape doesn't allow to transfer from foreign currency accounts to local currency accounts it says transaction not allowed please check it and also it is difficult to activate the ape from abroad countries since the top does reach by sums and it uses email it does allow manual top input and the email hardly received please review your ape and make an update,2,2024-03-22,Bank of Abyssinia,Google Play
have nothing against your service but your ape when will it ever work why do you keep changing the interface whenever there is an update the most unreadable annoying ape,1,2024-03-22,Bank of Abyssinia,Google Play
when writing amounts ape cannot insert decimal so that one cannot transact amounts involving cents financial ape to be released without this feature being checked,3,2024-03-20,Bank of Abyssinia,Google Play
boa mobile the best ape,5,2024-03-20,Bank of Abyssinia,Google Play
worst banking ape have ever used try to modify it,2,2024-03-19,Bank of Abyssinia,Google Play
the application is extremely slow,1,2024-03-16,Bank of Abyssinia,Google Play
could transfer because of bug its annoying for bank ape not acceptable,1,2024-03-15,Bank of Abyssinia,Google Play
this ape is good ape,5,2024-03-14,Bank of Abyssinia,Google Play
it good rate ape,5,2024-03-12,Bank of Abyssinia,Google Play
always there problem with this ape it says check your connection while connected,1,2024-03-09,Bank of Abyssinia,Google Play
it bad,1,2024-03-09,Bank of Abyssinia,Google Play
berry good,5,2024-03-08,Bank of Abyssinia,Google Play
it not fast to use,3,2024-03-08,Bank of Abyssinia,Google Play
little faster than before thanks,5,2024-03-05,Bank of Abyssinia,Google Play
application,5,2024-03-05,Bank of Abyssinia,Google Play
the worst mobile banking ape like the previous one how long it would take for boa to develop good ape years or decades,1,2024-03-04,Bank of Abyssinia,Google Play
was good at first but now could reach my apollo account in the mobile banking ape,1,2024-03-03,Bank of Abyssinia,Google Play
don know why they roll out new updates without making sure it works why do they need to update to new staff perhaps pay for better network indene don know there always problem with this ape,1,2024-03-02,Bank of Abyssinia,Google Play
always crashes,1,2024-03-02,Bank of Abyssinia,Google Play
best version of boa apes,1,2024-03-02,Bank of Abyssinia,Google Play
its amazing and easy to use but from these two past days it crashes and tells me there is not enough connectivity while my internet was good enough and can open it anymore fix this problem asap,5,2024-03-02,Bank of Abyssinia,Google Play
after the recent update the application keeps crashing when tried to open please fix,1,2024-03-01,Bank of Abyssinia,Google Play
the worse ape have ever seen,1,2024-03-01,Bank of Abyssinia,Google Play
the worst mobile banking ape ever have tried to transfer from my boa account to my be and it still has reached my be account yet when tried contacting customer support they just tell me it problem with the system have waited hours and still haven received my money bank of abyssinia the worst bank and system don recommend this ape or bank to anyone,1,2024-03-01,Bank of Abyssinia,Google Play
more interactive and easy to use mobile ape,5,2024-02-29,Bank of Abyssinia,Google Play
thank you for wasting my time abyssinia,1,2024-02-26,Bank of Abyssinia,Google Play
overrated service and recently switching service system not being able to withdraw funds,1,2024-02-26,Bank of Abyssinia,Google Play
very interesting,5,2024-02-24,Bank of Abyssinia,Google Play
user friendly at it best with the best security option,5,2024-02-24,Bank of Abyssinia,Google Play
it quiet good and smoothly accessible ape which allows users to transfer airtime top up at withdrawal and utilities payments,5,2024-02-24,Bank of Abyssinia,Google Play
this ape is not efficient and can be used for people outside ethiopia am not able to enter back my top code into the ape screen as it gets frozen and nothing can be done also the login screen forces to enter local cell phone in ethiopia and pin number those of us who live abroad are left out the previous application with boa authenticate was working efficiently and was also able to login using my laptop recommend the application to use login user name email instead of ph,1,2024-02-23,Bank of Abyssinia,Google Play
worst application ever used,1,2024-02-23,Bank of Abyssinia,Google Play
wow bank of abyssinia great job really like the updated version of mobile banking specially it allows me to transfer birr,5,2024-02-23,Bank of Abyssinia,Google Play
it is easy to use and very fast ape,5,2024-02-23,Bank of Abyssinia,Google Play
it is better than before and like it,5,2024-02-22,Bank of Abyssinia,Google Play
it good ape,4,2024-02-22,Bank of Abyssinia,Google Play
abyssinian mobile banking the latest one,5,2024-02-22,Bank of Abyssinia,Google Play
the receipt download option is very convenient,5,2024-02-22,Bank of Abyssinia,Google Play
used to access my apollo account through the ape before the update but now can access my apollo account through this ape and for me this is step taken backwards,3,2024-02-22,Bank of Abyssinia,Google Play
it is very bad ape not friendly usable needs extremely strong network can be updated easily,1,2024-02-21,Bank of Abyssinia,Google Play
definitely better than the previous version but this one crashes frequently and needed to put to sleep on android version,2,2024-02-20,Bank of Abyssinia,Google Play
its nice platform when compare with the previous version but when try to use mobile banking the ape states use the updated one as it orders updated boa from playstore when try to use mobile banking on the following day the same thing update from the playstore,5,2024-02-20,Bank of Abyssinia,Google Play
very fast and attractive ape,5,2024-02-20,Bank of Abyssinia,Google Play
it good ape,5,2024-02-20,Bank of Abyssinia,Google Play
the ape got better features and easy to use,5,2024-02-20,Bank of Abyssinia,Google Play
the is nice ape,5,2024-02-19,Bank of Abyssinia,Google Play
have great experience using this ape,5,2024-02-19,Bank of Abyssinia,Google Play
best ape but after the update the screenshot not working,4,2024-02-19,Bank of Abyssinia,Google Play
it was good and more secured mb ape but this new version ask can find it on play store will you tell me what have too do please,5,2024-02-19,Bank of Abyssinia,Google Play
have fitayah account type of interest free account and because their system is unable to process anything for people like me can see any of my accounts in the account list on any transaction although can see it when performing security actions or checking my balance as such this ape is as useless to me as the previous one unbelievable,1,2024-02-18,Bank of Abyssinia,Google Play
it doesn't send birr immediately to anything,1,2024-02-17,Bank of Abyssinia,Google Play
so this updated version is so much better and faster but it does open unless it directly opened from play store fix this issue give it if it was for this,3,2024-02-16,Bank of Abyssinia,Google Play
horrible your apes are getting worse and worse,1,2024-02-16,Bank of Abyssinia,Google Play
